stop_pct,rr,period,candidate_entries,skipped_overlaps,trades,gross_pnl,net_pnl,costs,win_rate_pct,profit_factor,net_sharpe,stops,targets,forced_eod,avg_net_trade
0.0075,3.0,validation,87,14,73,718.6724907500211,81.74972253624004,636.9227682137808,47.94520547945205,1.0188120071655407,0.13222060521287782,22,3,48,1.119859212825206
0.0075,3.0,holdout,80,16,64,1579.0410939999997,1025.4366496726511,553.6044443273487,43.75,1.2651723514350794,1.4830291656880665,19,4,41,16.022447651135174
0.0075,3.0,full,385,69,316,-446.0400230000082,-3254.4346477835297,2808.3946247835197,42.08860759493671,0.851125537326582,-1.0358541309266935,118,13,185,-10.298843822099778
0.01,0.5,development,218,18,200,1856.5591274999992,49.32865585869172,1807.2304716413073,63.0,1.0048877436916703,0.046355701559843435,37,104,59,0.24664327929345858
0.01,0.5,validation,87,9,78,564.9620900000107,-115.61573017230359,680.577820172314,61.53846153846154,0.9699559835437849,-0.2038910341731894,14,38,26,-1.482252950926969
0.01,0.5,holdout,80,8,72,872.6399200000076,249.75491061986702,622.8850093801404,61.111111111111114,1.0726456439493788,0.5109407738761902,12,39,21,3.4688182030537087
0.01,0.5,full,385,35,350,3294.1611375000175,183.4678363062556,3110.693301193762,62.28571428571429,1.0105571631426111,0.08593656002782278,63,181,106,0.5241938180178731
0.01,0.75,development,218,29,189,1106.6247834999776,-601.6855565863406,1708.3103400863179,53.43915343915344,0.9481809168821524,-0.37317798278751546,42,69,78,-3.1835214634197913
0.01,0.75,validation,87,12,75,973.5131700000259,319.2803327701019,654.2328372299233,56.00000000000001,1.0775599240229798,0.5315548337270816,14,28,33,4.257071103601358
0.01,0.75,holdout,80,12,68,763.5086275000019,175.39986261095146,588.1087648890506,52.94117647058824,1.0448359342128497,0.3179811177112567,14,25,29,2.579409744278698
0.01,0.75,full,385,53,332,2843.646581000005,-107.00536120528693,2950.6519422052925,53.915662650602414,0.9945516270624742,-0.02695406703222347,70,122,140,-0.3223053048352016
0.01,1.0,development,218,36,182,575.3530789999832,-1070.0983645532378,1645.451443553221,48.9010989010989,0.9155105049430193,-0.6116146010394667,45,48,89,-5.879661343699109
0.01,1.0,validation,87,14,73,1323.032113000018,686.2131136306981,636.8189993693194,52.054794520547944,1.162436227716522,1.0515390287298445,14,22,37,9.400179638776686
0.01,1.0,holdout,80,14,66,82.73061000000317,-488.22620390355524,570.9568139035588,46.96969696969697,0.8883793154213845,-0.7764173454242604,15,16,35,-7.397366725811443
0.01,1.0,full,385,64,321,1981.1158020000041,-872.1114548260948,2853.2272568260996,49.22118380062305,0.9589863744157636,-0.2783807257126581,74,86,161,-2.7168581147230366
0.01,1.5,development,218,41,177,-1592.792874000013,-3192.713412233054,1599.920538233041,43.50282485875706,0.7702875666010486,-1.676872802081032,50,23,104,-18.03792888267262
0.01,1.5,validation,87,17,70,669.58609600002,58.885620691298314,610.7004753087217,50.0,1.0134923639245363,0.09802101370760216,15,8,47,0.8412231527328331
0.01,1.5,holdout,80,15,65,827.3982480000004,265.2517088380462,562.1465391619544,46.15384615384615,1.060643154933976,0.3977115291483552,15,10,40,4.080795520585326
0.01,1.5,full,385,73,312,-95.80852999999252,-2868.5760827037093,2772.7675527037172,45.51282051282051,0.8732797805122023,-0.8560739501034739,80,41,191,-9.194154111229837
0.01,2.0,development,218,45,173,-3914.101598000021,-5477.590606889051,1563.4890088890306,41.61849710982659,0.620795805519219,-3.0820299837437624,53,8,112,-31.662373450225726
0.01,2.0,validation,87,17,70,587.4517070000225,-23.344794202498974,610.7965012025213,50.0,0.9946510462923581,-0.02060232428066485,15,4,51,-0.3334970600356996
0.01,2.0,holdout,80,16,64,1080.0818679999961,526.550345872043,553.5315221279534,45.3125,1.120382539080091,0.7325436805064321,15,6,43,8.227349154250671
0.01,2.0,full,385,78,307,-2246.5680230000034,-4974.385055219508,2727.8170322195056,44.299674267100976,0.7854324518778907,-1.5084936109035216,83,18,206,-16.20320864892348
0.01,3.0,development,218,45,173,-4060.565540000028,-5624.243110357461,1563.6775703574335,41.040462427745666,0.6161897597798192,-3.056270736635721,54,4,115,-32.51007578241307
0.01,3.0,validation,87,17,70,328.9775870000257,-281.7125670584986,610.6901540585242,48.57142857142857,0.938373680642087,-0.3631853986463572,16,2,52,-4.024465243692838
0.01,3.0,holdout,80,16,64,490.2575539999937,-63.43616659076258,553.6937205907561,43.75,0.9861524980301375,-0.07243980842810557,16,0,48,-0.9911901029806653
0.01,3.0,full,385,78,307,-3241.3303990000077,-5969.391844006722,2728.061445006714,43.32247557003257,0.7492491212425826,-1.7663109204663283,86,6,215,-19.44427310751375
0.015,0.5,development,218,38,180,1462.8401112499769,-163.2697561941044,1626.109867444081,55.00000000000001,0.9854447235883627,-0.08891056825694157,22,69,89,-0.9070542010783578
0.015,0.5,validation,87,13,74,1169.9406685000124,524.3776108497833,645.5630576502292,56.75675675675676,1.1298565105842948,0.8083678448678544,8,29,37,7.086183930402477
0.015,0.5,holdout,80,14,66,1073.1543484999963,502.50415703173843,570.6501914682578,57.57575757575758,1.1299664697117084,0.8434065158808891,7,27,32,7.613699348965734
0.015,0.5,full,385,65,320,3705.9351282499865,863.612011687417,2842.3231165625684,55.93749999999999,1.0451638202884594,0.3132997108650871,37,125,158,2.698787536523178
0.015,0.75,development,218,48,170,-260.17384550001725,-1796.20631206797,1536.0324665679527,48.23529411764706,0.8584389973531248,-0.9809038738232786,25,35,110,-10.565919482752765
0.015,0.75,validation,87,15,72,1332.4279947500122,704.1815655980326,628.2464291519796,51.388888888888886,1.1580734816584768,0.9585506594716374,9,19,44,9.780299522194898
0.015,0.75,holdout,80,16,64,642.4442580000004,88.98248604665002,553.4617719533505,51.5625,1.0200990684191722,0.14167798581347932,8,16,40,1.3903513444789066
0.015,0.75,full,385,79,306,1714.6984072499952,-1003.0422604232872,2717.7406676732826,49.673202614379086,0.953499426835052,-0.29343408650629915,42,70,194,-3.2779158837362328
0.015,1.0,development,218,50,168,-949.8387120000127,-2467.827395276474,1517.9886832764614,45.83333333333333,0.8148081575321761,-1.2741308857816227,26,23,119,-14.689448781407583
0.015,1.0,validation,87,18,69,915.0719195000111,313.05103543598284,602.0208840640279,50.72463768115942,1.071376210882273,0.4308716765553473,9,9,51,4.536971528057722
0.015,1.0,holdout,80,17,63,1206.8978689999994,662.2558120438413,544.642056956159,50.79365079365079,1.1495881433373898,0.9039207243058459,8,11,44,10.511997016568909
0.015,1.0,full,385,85,300,1172.1310764999967,-1492.5205477966506,2664.651624296648,48.0,0.93258383793931,-0.4192080887364354,43,43,214,-4.9750684926555016
0.015,1.5,development,218,54,164,-2911.1192155000317,-4392.706887998393,1481.5876724983614,44.51219512195122,0.6810323741815855,-2.3864621054235307,27,6,131,-26.784798097551175
0.015,1.5,validation,87,18,69,825.6064005000148,223.4482248081847,602.1581756918298,50.72463768115942,1.0509466055365917,0.30410577814872775,9,3,57,3.2383800696838363
0.015,1.5,holdout,80,18,62,1546.2377634999943,1010.2082380327354,536.0295254672592,50.0,1.228182481698551,1.277953461089384,8,4,50,16.293681258592507
0.015,1.5,full,385,90,295,-539.2750515000221,-3159.0504251574716,2619.7753736574505,47.11864406779661,0.8601247020693102,-0.89710713668358,44,13,238,-10.70864550900838
0.015,2.0,development,218,54,164,-3300.2344780000276,-4782.0194250608865,1481.7849470608603,43.90243902439025,0.6587110859874045,-2.55986388663821,27,4,133,-29.158655030859066
0.015,2.0,validation,87,18,69,534.8211605000149,-67.21900076381584,602.0401612638304,49.275362318840585,0.9851898176729162,-0.07027859139398851,9,2,58,-0.9741884168668963
0.015,2.0,holdout,80,18,62,853.7927499999926,317.6003187300302,536.1924312699629,48.38709677419355,1.0670962283155965,0.4151871945977136,9,0,53,5.122585785968229
0.015,2.0,full,385,90,295,-1911.6205675000201,-4531.638107094672,2620.017539594654,46.101694915254235,0.8053742134895875,-1.280599669858956,45,6,244,-15.361485108795497
0.015,3.0,development,218,55,163,-2178.0254530000284,-3650.6789392758865,1472.6534862758592,44.171779141104295,0.7335913652812759,-1.7268120392789452,26,2,135,-22.396803308441022
0.015,3.0,validation,87,18,69,868.4374805000125,266.3442104521805,602.0932700478312,49.275362318840585,1.0586829062279572,0.3197409529858232,9,1,59,3.860061021046094
0.015,3.0,holdout,80,18,62,853.7927499999926,317.6003187300302,536.1924312699629,48.38709677419355,1.0670962283155965,0.4151871945977136,9,0,53,5.122585785968229
0.015,3.0,full,385,91,294,-455.7952225000231,-3066.7344100936757,2610.9391875936535,46.25850340136054,0.866521608497534,-0.7904343754706938,44,3,247,-10.431069422087333
0.02,0.5,development,218,48,170,821.1324469999846,-714.7810017404533,1535.9134487404376,50.588235294117645,0.9417791718041907,-0.3677918083369253,14,48,108,-4.20459412788502
0.02,0.5,validation,87,15,72,2064.655966000007,1436.5871686012806,628.0687973987264,54.166666666666664,1.3911721286260403,2.143041811740692,2,23,47,19.952599563906674
0.02,0.5,holdout,80,16,64,435.682856000002,-117.86884633275605,553.5517023327582,51.5625,0.9731182414456486,-0.1593846672780031,2,18,44,-1.8417007239493133
0.02,0.5,full,385,79,306,3321.4712689999938,603.9373205280715,2717.533948471922,51.633986928104584,1.0297004220050818,0.2005377541645437,18,89,199,1.9736513742747435
0.02,0.75,development,218,53,165,-837.97866200001,-2328.625216151467,1490.6465541514572,46.06060606060606,0.8252728819493064,-1.1280686845082535,15,24,126,-14.112880097887679
0.02,0.75,validation,87,18,69,1310.6150990000078,708.6447066918772,601.9703923081304,52.17391304347826,1.1766150616018385,0.9741440010699205,3,9,57,10.270213140461989
0.02,0.75,holdout,80,17,63,1249.4508189999988,704.7354910538442,544.7153279461554,50.79365079365079,1.160725500457597,0.9532443242151963,2,11,50,11.186277635775305
0.02,0.75,full,385,88,297,1722.0872559999973,-915.2450184057461,2637.332274405743,48.484848484848484,0.9578699776130236,-0.24145745937496815,20,44,233,-3.0816330586052056
0.02,1.0,development,218,57,161,-3010.6093860000165,-4464.857400147469,1454.248014147452,44.72049689440994,0.678150175233069,-2.2741809368722503,16,9,136,-27.732033541288626
0.02,1.0,validation,87,18,69,1134.6634600000075,532.5782783480781,602.0851816519292,52.17391304347826,1.1327341396189181,0.7298362454348842,3,4,62,7.718525773160553
