time_winner_quantile,stop_winner_quantile,max_holding_bars,stop_loss_pct,development_joint_winner_survival,initial_capital,final_equity,total_pnl,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,max_drawdown_usd,total_trades,win_rate_pct,profit_factor,avg_trade_pnl,avg_win_pnl,avg_loss_pnl,win_loss_ratio,avg_duration_mins,total_commissions,total_slippage,exit_reasons_breakdown
0.99,0.95,65,0.0053491610910466735,0.9456521739130435,100000.0,96592.23350175818,-3407.766498241821,-3.4077664982418208,-8.366480997312376,-6.631705831423593,-6.566116717753124,3.609343115352312,3614.103213241833,264,46.590909090909086,0.4970513840609798,-12.908206432733575,27.380563872520824,-48.05372946497677,0.569790610996733,16.772727272727273,212.674,2102.5751471711856,"{'TAKE_PROFIT': 207, 'STOP_LOSS': 33, 'FORCED_EOD': 22, 'TIME_STOP': 2}"
0.975,0.95,51,0.0053491610910466735,0.9311594202898551,100000.0,96580.96855775818,-3419.031442241816,-3.4190314422418164,-8.39340894410039,-6.635751912985256,-6.566924279650959,3.620593222411302,3625.368157241828,264,46.590909090909086,0.49622636750721616,-12.950876675157836,27.380563872520824,-48.13362268483496,0.5688448603131503,16.65909090909091,212.674,2102.580091171187,"{'TAKE_PROFIT': 205, 'STOP_LOSS': 33, 'FORCED_EOD': 22, 'TIME_STOP': 4}"
0.95,0.95,41,0.0053491610910466735,0.9166666666666666,100000.0,96589.1092413582,-3410.8907586418063,-3.410890758641806,-8.373949770066623,-6.673303119454943,-6.604769038464317,3.612463260821301,3617.2274736418185,264,46.590909090909086,0.49682229619315094,-12.920040752430552,27.380563872520824,-48.0758873401541,0.5695279980750754,16.443181818181817,212.674,2102.569407571181,"{'TAKE_PROFIT': 201, 'STOP_LOSS': 33, 'FORCED_EOD': 22, 'TIME_STOP': 8}"
0.925,0.95,33,0.0053491610910466735,0.8913043478260869,100000.0,96569.29797057723,-3430.7020294227696,-3.4307020294227697,-8.42130151390763,-6.767826053787909,-6.688340830284808,3.6322484383828213,3637.0387444227817,264,46.590909090909086,0.4894790702255442,-12.995083444782617,26.742281921301363,-47.65959365774949,0.5611101536731848,16.041666666666668,212.674,2102.5975591949978,"{'TAKE_PROFIT': 191, 'STOP_LOSS': 32, 'FORCED_EOD': 21, 'TIME_STOP': 20}"
0.9,0.95,29,0.0053491610910466735,0.8731884057971014,100000.0,96598.05740531725,-3401.942594682754,-3.4019425946827537,-8.352557550097883,-6.783211327452156,-6.660093476338352,3.6035268823962707,3608.2793096827663,264,46.21212121212121,0.48529082379333405,-12.886146191979657,26.29101293377095,-46.54539558170905,0.5648466965463397,15.681818181818182,212.674,2102.598624455004,"{'TAKE_PROFIT': 183, 'STOP_LOSS': 32, 'TIME_STOP': 28, 'FORCED_EOD': 21}"
0.95,0.925,41,0.004169607090766916,0.8913043478260869,100000.0,96671.04017706357,-3328.9598229364346,-3.3289598229364343,-8.177966416348015,-7.352757137383751,-7.0952685166971,3.530640235502304,3535.296537936447,264,45.45454545454545,0.4948565034438511,-12.609696299001365,27.176393594333813,-45.76477121011401,0.5938278041326214,15.549242424242424,212.674,2102.5778393610926,"{'TAKE_PROFIT': 189, 'STOP_LOSS': 48, 'FORCED_EOD': 21, 'TIME_STOP': 6}"
0.975,0.925,51,0.004169607090766916,0.9057971014492754,100000.0,96632.96429747446,-3367.035702525536,-3.3670357025255364,-8.269077452945195,-7.366022404948194,-7.097655663601543,3.5686659657449757,3573.3724175255484,264,45.45454545454545,0.49201378772934057,-12.753923115626717,27.176393594333813,-46.029187040593825,0.5904165452752087,15.693181818181818,212.674,2102.582688755062,"{'TAKE_PROFIT': 192, 'STOP_LOSS': 49, 'FORCED_EOD': 21, 'TIME_STOP': 2}"
0.9,0.925,29,0.004169607090766916,0.8478260869565217,100000.0,96704.02806016784,-3295.9719398321613,-3.295971939832161,-8.098986235198113,-7.388175261766908,-7.121030764659182,3.497695800397017,3502.3086548321735,264,45.07575757575758,0.48474944750530113,-12.484742196333599,26.05765926823573,-44.116092363807745,0.5906610914980559,14.905303030303031,212.674,2102.61962507536,"{'TAKE_PROFIT': 174, 'STOP_LOSS': 43, 'TIME_STOP': 26, 'FORCED_EOD': 21}"
0.99,0.925,65,0.004169607090766916,0.9202898550724637,100000.0,96613.76763347448,-3386.2323665255244,-3.3862323665255247,-8.31499209381834,-7.393692813486445,-7.117397521784395,3.587837346017743,3592.5690815255366,264,45.45454545454545,0.49059292785362824,-12.826637751990333,27.176393594333813,-46.16249720726046,0.5887115134243539,15.75,212.674,2102.5793527550586,"{'TAKE_PROFIT': 193, 'STOP_LOSS': 49, 'FORCED_EOD': 21, 'TIME_STOP': 1}"
0.925,0.925,33,0.004169607090766916,0.8659420289855072,100000.0,96662.29143011764,-3337.708569882365,-3.3377085698823645,-8.19890595165621,-7.423942727436109,-7.1544041168434696,3.539377459564294,3544.045284882377,264,45.45454545454545,0.4881103306240215,-12.642835491978246,26.522154594333863,-45.280327230571665,0.5857323967488258,15.227272727272727,212.674,2102.6162996410667,"{'TAKE_PROFIT': 182, 'STOP_LOSS': 45, 'FORCED_EOD': 21, 'TIME_STOP': 16}"
0.95,0.9,41,0.003897506895764226,0.8695652173913043,100000.0,96509.87605560348,-3490.123944396517,-3.490123944396517,-8.563239766216402,-7.655196212159051,-7.323438739229877,3.6915920893681404,3696.460659396529,264,43.93939393939394,0.47717771415640525,-13.220166456047005,27.460530434655652,-45.10503699200314,0.6088129456478274,15.106060606060606,212.674,2102.634346423396,"{'TAKE_PROFIT': 185, 'STOP_LOSS': 52, 'FORCED_EOD': 21, 'TIME_STOP': 6}"
0.975,0.9,51,0.003897506895764226,0.8840579710144928,100000.0,96477.2384744333,-3522.761525566704,-3.522761525566704,-8.64114308316245,-7.665508947018468,-7.324646811270738,3.7241866839183895,3729.0982405667164,264,43.93939393939394,0.47485608306071286,-13.343793657449162,27.460530434655652,-45.32556118909888,0.6058508645947026,15.246212121212121,212.674,2102.6402836946218,"{'TAKE_PROFIT': 188, 'STOP_LOSS': 53, 'FORCED_EOD': 21, 'TIME_STOP': 2}"
0.99,0.9,65,0.003897506895764226,0.8985507246376812,100000.0,96458.04181043331,-3541.9581895666925,-3.5419581895666923,-8.686945291713322,-7.692970824030528,-7.343758079111852,3.7433580641911566,3748.2949045667046,264,43.93939393939394,0.47350107515952533,-13.41650829381278,27.460530434655652,-45.45526837828804,0.6041220614104289,15.303030303030303,212.674,2102.6369476946184,"{'TAKE_PROFIT': 189, 'STOP_LOSS': 53, 'FORCED_EOD': 21, 'TIME_STOP': 1}"
0.925,0.9,33,0.003897506895764226,0.8478260869565217,100000.0,96484.84167127384,-3515.15832872616,-3.5151583287261605,-8.622998433828343,-7.754991002805148,-7.4015602286256295,3.716593501169613,3721.4950437261723,264,43.93939393939394,0.46917539337302955,-13.314993669416715,26.78373146913846,-44.743724183419424,0.5986030880966239,14.791666666666666,212.674,2102.671725015575,"{'TAKE_PROFIT': 178, 'STOP_LOSS': 49, 'FORCED_EOD': 21, 'TIME_STOP': 16}"
0.9,0.9,29,0.003897506895764226,0.8297101449275363,100000.0,96475.2684883234,-3524.7315116765967,-3.5247315116765967,-8.645844002056446,-7.8304722330621335,-7.449694505882796,3.7261540753799913,3731.068226676609,264,43.56060606060606,0.46186050303603177,-13.35125572604723,26.305354365391743,-43.95870646776187,0.5984105648032064,14.481060606060606,212.674,2102.6669538064116,"{'TAKE_PROFIT': 170, 'STOP_LOSS': 48, 'TIME_STOP': 25, 'FORCED_EOD': 21}"
