stop_usd,target_usd,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
2.25,1.75,125,48390,207,207,1397,729.199599999991,1804.8838024397899,156.50600000000014,1648.3778024397905,-1075.6842024397988,-1.0756842024397988,53.62318840579711,0.9303633641925639,-0.5675584574194987,-0.7163353557534874,3299.998118339936,3.265142009828268,-5.196542040771975,136.19806763285024,47,66,94,243.02173913043478,189.0169082125604
2.75,0.75,125,48390,294,294,1310,1440.994200000003,2563.57459199973,222.4810000000001,2341.09359199973,-1122.580391999727,-1.122580391999727,68.36734693877551,0.9249698388591556,-0.5990235839923785,-0.7096405400647707,2744.1835298398073,2.7195953913601114,-3.818300653060296,75.421768707483,32,184,78,297.2899659863946,81.07908163265306
3.0,1.5,125,48390,204,204,1400,542.5893000000015,1778.9424250198065,154.3010000000001,1624.6414250198059,-1236.353125019805,-1.236353125019805,54.90196078431373,0.9162710923640441,-0.6111492505558613,-0.7369609781625044,4001.5758779398748,3.9594978070263354,-6.060554534410809,137.79901960784315,29,76,99,324.1617647058824,162.0808823529412
3.0,1.75,125,48390,188,188,1416,259.98850000000317,1639.3533811798152,142.25400000000008,1497.0993811798148,-1379.364881179812,-1.379364881179812,54.25531914893617,0.9056236003772669,-0.6709690157415931,-0.8212779824242614,4062.3734556998825,4.019005088607216,-7.3370472403181495,154.56914893617022,29,61,98,324.28723404255317,189.16755319148936
2.0,0.75,125,48390,322,322,1282,1652.127499999991,2807.337154819709,243.62800000000007,2563.7091548197095,-1155.2096548197183,-1.1552096548197184,66.77018633540372,0.9273645356306408,-0.6759458121901843,-0.8186016540830712,3053.31400519982,3.027167371435541,-3.5876076236637213,65.0527950310559,54,195,73,216.17391304347825,81.06521739130434
2.5,2.0,125,48390,190,190,1414,80.68490000000713,1657.15736921983,144.0110000000001,1513.1463692198295,-1576.4724692198226,-1.5764724692198226,51.05263157894737,0.8961663021936102,-0.7867800079316482,-0.9556670174216476,4452.21641087989,4.405340290750306,-8.297223522209594,153.6263157894737,39,50,101,270.69736842105266,216.55789473684212
2.0,1.75,125,48390,221,221,1383,271.8419999999842,1926.5766244797976,167.02000000000012,1759.5566244797974,-1654.7346244798134,-1.6547346244798133,52.03619909502263,0.8997219167909877,-0.8526311899718746,-1.0481001275067732,3841.747419139967,3.800367323154835,-7.487486988596441,124.77828054298642,58,68,95,215.92760180995475,188.93665158371041
2.75,1.75,125,48390,192,192,1412,-233.10849999999823,1674.3888540998043,145.2710000000001,1529.1178540998053,-1907.4973540998026,-1.9074973540998026,53.125,0.874283948899621,-0.9426254004117915,-1.1532973106306208,4206.597386619862,4.161689339227515,-9.934882052603138,148.38020833333334,34,61,97,297.2434895833333,189.15494791666666
2.75,1.5,125,48390,208,208,1396,-71.78769999999963,1813.9816110597994,157.3180000000001,1656.6636110597997,-1885.769311059799,-1.885769311059799,53.84615384615385,0.8779016407468303,-0.9462236485284938,-1.139804049654475,4267.0835219798755,4.222213538626142,-9.066198610864419,132.38942307692307,35,76,97,297.13221153846155,162.0721153846154
1.75,1.5,125,48390,243,243,1361,344.4902999999781,2118.642664819758,183.5120000000001,1935.1306648197574,-1774.15236481978,-1.77415236481978,50.617283950617285,0.8933355100622953,-0.966272982889702,-1.2049355966343596,3881.639741379855,3.8393504861395376,-7.301038538353004,106.51851851851852,70,82,91,188.79835390946502,161.82716049382717
