entry_mode,abs_threshold_usd,anchor_filter,trades,net_pnl,gross_pnl,costs,net_return_pct,net_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl,eligible
z_or_abs,2.0,True,1286,-11032.87651657892,587.7591000000157,11620.635616578935,-11.03287651657892,-3.368151521710666,-3.6266094628065386,11.826420248359296,37.791601866251945,0.6472432976366637,-8.57921968629776,-6.557211999999035,10.673405909797824,-5504.641659979434,-5528.234856599475,True
abs_only,2.0,False,1389,-13932.094323558902,-1366.2351999999998,12565.859123558903,-13.932094323558902,-3.9679958650127554,-4.284355880402751,14.525033609399005,35.63714902807775,0.5861301288647118,-10.030305488523327,-7.454500000000197,8.987041036717063,-7193.020749619419,-6739.073573939471,True
abs_only,2.0,True,1205,-13080.887559219043,-2191.0295000000096,10889.858059219034,-13.080887559219043,-4.267791329376963,-4.390979000461585,13.667764856519105,36.09958506224066,0.5484083623368795,-10.85550834789962,-7.415546720001231,8.809958506224067,-6726.101482099506,-6354.786077119528,True
z_or_abs,1.5,False,2395,-19816.457524677975,1835.1018000000258,21651.559324678,-19.816457524677975,-4.5434063844699155,-5.013738987829365,19.91861522567812,37.28601252609604,0.6302239438831563,-8.274094999865543,-6.93534141999905,9.777035490605428,-10626.615484078886,-9189.84204059905,True
z_or_abs,1.5,True,1975,-18415.37329751833,-581.6989999999928,17833.674297518337,-18.415373297518332,-4.960456104662657,-5.144551909101578,18.745468845878467,37.21518987341772,0.5837375983281398,-9.324239644313078,-6.8863290000020765,9.24607594936709,-10227.763933719114,-8187.6093637992035,True
abs_only,1.5,False,2278,-22229.37046655811,-1633.2649999999949,20596.105466558114,-22.22937046655811,-5.267041487329733,-5.651268690422746,22.331528167558282,36.08428446005268,0.565176835835459,-9.75828378689996,-7.488420999998892,8.364793678665496,-12112.791164598959,-10116.579301959116,True
abs_only,1.5,True,1914,-19719.053492918425,-2436.2658000000138,17282.787692918413,-19.719053492918427,-5.464526754623794,-5.5440964647171205,19.921039316998606,36.52037617554859,0.5382552049197893,-10.302535785223837,-7.3843228899999795,8.3239289446186,-11503.032891039154,-8216.020601879249,True
z_or_abs,1.0,True,3133,-27701.653136537316,562.7127000000273,28264.36583653734,-27.701653136537313,-6.493634366440701,-6.471514331973115,27.850085751637266,35.684647302904565,0.5619973564952424,-8.841893755677408,-7.233361280002329,8.02872646026173,-16020.953376058576,-11680.699760478745,True
z_or_abs,1.0,False,3855,-32594.009870056703,2219.461900000047,34813.47177005675,-32.5940098700567,-6.560412555190583,-6.754814919330016,32.74244248515656,35.61608300907912,0.584065632180204,-8.454996075241686,-7.4809559999977395,8.292607003891051,-17926.852956318227,-14667.156913738496,True
abs_only,1.0,True,3097,-28126.147109157388,-188.3005999999932,27937.846509157396,-28.12614710915739,-6.652977280420338,-6.57144671350923,28.274579724257347,35.48595414917662,0.5461245177079351,-9.081739460496411,-7.255737199995767,7.674200839522118,-16598.476213058602,-11527.670896098789,True
abs_only,1.0,False,3788,-34115.89174625679,90.84990000001744,34206.74164625681,-34.11589174625679,-6.976722053259913,-7.046856970430887,34.26432436135664,35.11087645195354,0.5551083892806642,-9.00630721918078,-7.5256126500003555,7.688753959873284,-18932.238923038232,-15183.652823218546,True
z_or_abs,0.75,False,4719,-39378.716838936045,3224.222699999942,42602.939538935985,-39.37871683893604,-7.421447844663794,-7.482355491816505,39.458496402935964,34.22335240517059,0.5710430046912669,-8.344716431221878,-7.533667999999722,7.624072896800169,-20857.195479357822,-18521.521359578153,True
z_or_abs,0.75,True,3808,-33619.373565856775,726.3816999999653,34345.755265856744,-33.619373565856776,-7.4720715919859835,-7.283075664680311,33.6991531298568,34.16491596638656,0.5482320912586225,-8.82861700784054,-7.501603489997588,7.447478991596639,-18916.364911558278,-14703.008654298475,True
abs_only,0.75,True,3783,-34353.186994016825,-234.00670000005994,34119.18029401677,-34.35318699401682,-7.707974981487576,-7.435503832315787,34.43296655801685,33.96775046259582,0.5342684829571394,-9.080937614067361,-7.518129839998446,7.267776896642876,-19524.106724838268,-14829.080269178503,True
abs_only,0.75,False,4671,-41495.63778109611,674.2456999999213,42169.88348109603,-41.495637781096114,-7.957676946510474,-7.851627586700951,41.575417345096014,33.80432455576965,0.5457993284818704,-8.883673256496706,-7.569561999998337,7.29244273174909,-22282.342639677885,-19213.295141418188,True
z_or_abs,0.5,True,4490,-39040.90776051617,1455.813799999939,40496.72156051611,-39.04090776051618,-8.320953354718107,-7.928575228394856,39.12068732451612,33.897550111358576,0.5392686644992023,-8.695079679402266,-7.453874999998778,7.088864142538975,-20879.603091797966,-18161.304668718203,True
abs_only,0.5,True,4472,-39672.3203430762,660.7369999999273,40333.05734307613,-39.6723203430762,-8.530768111333586,-8.050679213234467,39.75209990707609,33.788014311270125,0.529211228025762,-8.871270201940117,-7.458662149998335,6.982110912343471,-21507.07571111798,-18165.244631958223,True
z_or_abs,0.5,False,5722,-47274.651866095155,4385.146099999943,51659.797966095095,-47.274651866095155,-8.761734975342485,-8.501469546105744,47.354431430095104,33.85180006990563,0.5601701996258525,-8.261910497395169,-7.501603489997588,7.155889549108704,-24236.758536517395,-23037.89332957777,True
