stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,2.7500000000,188.0000000000,72960.0000000000,849.0000000000,188.0000000000,163.8030000000,7196.9300909593,449.6870000000,6747.2430909593,-7033.1270909593,12122.4436933401,-19155.5707842994,16.7255594817,0.6328416851,-5.2607139956,7076.8962445994,-0.9938152048,30.1230534307,30.6178400000,7153.3325135401,9478.2211704800,696.0000000000,29.0000000000,124.0000000000,-7033.1270909593,-781.4585656621,-538.4737113599,183.6757215910,0,849.0000000000,188.0000000000,7196.9300909593,7153.3325135401,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.0000000000,188.0000000000,72960.0000000000,841.0000000000,188.0000000000,59.9418000000,7129.0415751993,445.3190000000,6683.7225751993,-7069.0997751994,11945.7184831001,-19014.8182582994,16.5279429251,0.6282320620,-5.2486122665,7112.8689288394,-0.9938464839,30.1230534307,30.6178400000,7102.1962955401,9259.1773704800,691.0000000000,25.0000000000,125.0000000000,-7069.0997751993,-785.4555305777,-485.4286625199,207.9230523164,1,841.0000000000,188.0000000000,7129.0415751993,7102.1962955401,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.2500000000,188.0000000000,72960.0000000000,835.0000000000,188.0000000000,-85.5268000000,7078.2950000393,442.1620000000,6636.1330000393,-7163.8218000393,11773.4411408201,-18937.2629408594,16.2874251497,0.6217076447,-5.2378633048,7207.5909536794,-0.9939273533,30.1367209886,30.6178400000,6995.1888935401,9259.1773704800,688.0000000000,21.0000000000,126.0000000000,-7163.8218000393,-795.9802000044,-526.1503877599,217.2808898102,1,835.0000000000,188.0000000000,7078.2950000393,6995.1888935401,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.5000000000,188.0000000000,72960.0000000000,824.0000000000,188.0000000000,-24.0368000000,6985.0653280393,436.5340000000,6548.5313280393,-7009.1021280394,11738.2920758201,-18747.3942038594,16.1407766990,0.6261292609,-4.9739548114,7052.8712816794,-0.9937941369,30.1367209886,30.6178400000,6917.3079699001,9259.1773704800,681.0000000000,18.0000000000,125.0000000000,-7009.1021280394,-778.7891253377,-585.9723355200,223.5116295562,1,824.0000000000,188.0000000000,6985.0653280393,6917.3079699001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.7500000000,188.0000000000,72960.0000000000,823.0000000000,188.0000000000,200.8050000000,6976.5748123993,436.0300000000,6540.5448123993,-6775.7698123994,11945.1391914601,-18720.9090038594,16.1603888214,0.6380640592,-4.7246645085,6819.5389660394,-0.9935818017,30.1367209886,30.6178400000,6863.6484015001,9259.1773704800,680.0000000000,15.0000000000,128.0000000000,-6775.7698123994,-752.8633124888,-567.9687355200,233.5915132062,1,823.0000000000,188.0000000000,6976.5748123993,6863.6484015001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.0000000000,188.0000000000,72960.0000000000,818.0000000000,188.0000000000,388.9350000000,6934.4178703993,433.3980000000,6501.0198703993,-6545.4828703994,12039.2339174601,-18584.7167878594,16.2591687042,0.6478029262,-4.4526314591,6589.2520240394,-0.9933574929,30.1509733054,30.6178400000,6826.1487015000,9259.1773704800,675.0000000000,13.0000000000,130.0000000000,-6545.4828703994,-727.2758744888,-549.9651355200,243.4832977613,1,818.0000000000,188.0000000000,6934.4178703993,6826.1487015001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.2500000000,188.0000000000,72960.0000000000,810.0000000000,188.0000000000,716.0550000000,6866.5539223993,429.1910000000,6437.3629223993,-6150.4989223994,12243.5404954601,-18394.0394178594,16.2962962963,0.6656254354,-4.0471082771,6194.2680760394,-0.9929339265,30.1509733054,30.6178400000,6788.6490015000,9259.1773704800,668.0000000000,12.0000000000,130.0000000000,-6150.4989223994,-683.3887691555,-505.2495215200,256.6928401107,2,810.0000000000,188.0000000000,6866.5539223993,6788.6490015000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.5000000000,188.0000000000,72960.0000000000,806.0000000000,188.0000000000,757.2450000000,6832.5551283993,427.0560000000,6405.4991283993,-6075.3101283994,12208.4795274601,-18283.7896558594,16.3771712159,0.6677215040,-3.9096013028,6119.0792820394,-0.9928471014,30.1509733054,30.6178400000,6751.5093735000,9259.1773704800,664.0000000000,10.0000000000,132.0000000000,-6075.3101283994,-675.0344587110,-487.2459215200,262.7976487561,2,806.0000000000,188.0000000000,6832.5551283993,6751.5093735000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.7500000000,188.0000000000,72960.0000000000,800.0000000000,188.0000000000,797.4280000000,6781.9197822793,423.8780000000,6358.0417822793,-5984.4917822794,12163.0922368601,-18147.5840191395,16.3750000000,0.6702320388,-3.8270491294,6028.2609359194,-0.9927393399,30.1658029980,30.6178400000,6732.0132735001,9259.1773704800,659.0000000000,8.0000000000,133.0000000000,-5984.4917822794,-664.9435313644,-442.5627195200,268.8768640306,2,800.0000000000,188.0000000000,6781.9197822793,6732.0132735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.0000000000,188.0000000000,72960.0000000000,797.0000000000,188.0000000000,683.9630000000,6756.5354159994,422.2680000000,6334.2674159994,-6072.5724159994,12020.3077878601,-18092.8802038595,16.3111668758,0.6643667372,-3.9909449435,6116.3415696394,-0.9928438997,30.1658029980,30.6178400000,6712.5171735001,9259.1773704800,657.0000000000,8.0000000000,132.0000000000,-6072.5724159994,-674.7302684444,-424.5591195200,262.4805207181,2,797.0000000000,188.0000000000,6756.5354159994,6712.5171735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.2500000000,188.0000000000,72960.0000000000,791.0000000000,188.0000000000,556.3430000000,6705.7465110394,419.2440000000,6286.5025110394,-6149.4035110394,11784.7369478601,-17934.1404588995,16.4348925411,0.6571118909,-4.0501540784,6193.1726646794,-0.9929326767,30.1658029980,30.6178400000,6693.0210735001,9259.1773704800,651.0000000000,6.0000000000,134.0000000000,-6149.4035110394,-683.2670567822,-406.5555195199,262.6216426862,1,791.0000000000,188.0000000000,6705.7465110394,6693.0210735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.5000000000,188.0000000000,72960.0000000000,789.0000000000,188.0000000000,598.8280000000,6688.9245400394,418.2220000000,6270.7025400394,-6090.0965400394,11817.3765808601,-17907.4731208995,16.3498098859,0.6599131268,-3.9759108267,6133.8656936794,-0.9928643443,30.1658029980,30.6178400000,6673.5249735000,9259.1773704800,650.0000000000,5.0000000000,134.0000000000,-6090.0965400394,-676.6773933377,-442.9872985200,268.1490182151,2,789.0000000000,188.0000000000,6688.9245400394,6673.5249735000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.7500000000,188.0000000000,72960.0000000000,788.0000000000,188.0000000000,514.5180000000,6680.4440940394,417.7040000000,6262.7400940394,-6165.9260940394,11714.5950428601,-17880.5211368995,16.3705583756,0.6551595982,-4.0267586272,6209.6952476794,-0.9929514812,30.1658029980,30.6178400000,6654.0288735001,9259.1773704800,649.0000000000,4.0000000000,135.0000000000,-6165.9260940394,-685.1028993377,-442.9872985200,262.2387916934,2,788.0000000000,188.0000000000,6680.4440940394,6654.0288735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.0000000000,188.0000000000,72960.0000000000,787.0000000000,188.0000000000,610.5180000000,6671.9937900394,417.1860000000,6254.8077900394,-6061.4757900394,11792.0874428601,-17853.5632328995,16.3913595934,0.6604892978,-3.9015056250,6105.2449436794,-0.9928308931,30.1658029980,30.6178400000,6634.5327735001,9259.1773704800,648.0000000000,4.0000000000,135.0000000000,-6061.4757900394,-673.4973100044,-442.9872985200,268.8272705427,2,787.0000000000,188.0000000000,6671.9937900394,6634.5327735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.2500000000,188.0000000000,72960.0000000000,786.0000000000,188.0000000000,706.5180000000,6663.5403750794,416.6680000000,6246.8723750794,-5957.0223750794,11869.5798428601,-17826.6022179395,16.4122137405,0.6658352331,-3.7767002414,6000.7915287194,-0.9927061033,30.1658029980,30.6178400000,6615.0366735001,9259.1773704800,647.0000000000,4.0000000000,135.0000000000,-5957.0223750794,-661.8913750088,-442.9872985200,275.5786139337,2,786.0000000000,188.0000000000,6663.5403750794,6615.0366735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.5000000000,188.0000000000,72960.0000000000,785.0000000000,188.0000000000,804.2680000000,6655.0281240394,416.1010000000,6238.9271240394,-5850.7601240394,11947.0722428601,-17797.8323668995,16.4331210191,0.6712655787,-3.6410099337,5894.5292776794,-0.9925746143,30.1658029980,30.6178400000,6595.5405735000,9259.1773704800,646.0000000000,4.0000000000,135.0000000000,-5850.7601240394,-650.0844582266,-442.9872985200,281.5763361312,2,785.0000000000,188.0000000000,6655.0281240394,6595.5405735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.7500000000,188.0000000000,72960.0000000000,784.0000000000,188.0000000000,900.2680000000,6646.5557650794,415.5830000000,6230.9727650794,-5746.2877650794,12024.5646428601,-17770.8524079395,16.4540816327,0.6766453497,-3.5196205653,5790.0569187194,-0.9924406350,30.1658029980,30.6178400000,6576.0444735000,9259.1773704800,645.0000000000,4.0000000000,135.0000000000,-5746.2877650794,-638.4764183422,-442.9872985200,288.5587850830,2,784.0000000000,188.0000000000,6646.5557650794,6576.0444735001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,7.0000000000,188.0000000000,72960.0000000000,782.0000000000,188.0000000000,1016.5180000000,6629.5618270794,414.4980000000,6215.0638270794,-5613.0438270794,12102.0570428601,-17715.1008699395,16.4961636829,0.6831492031,-3.3603599037,5656.8129807194,-0.9922625772,30.1658029980,30.6178400000,6556.5483735001,9259.1773704800,643.0000000000,4.0000000000,135.0000000000,-5613.0438270794,-623.6715363422,-442.9872985200,296.7539194444,2,782.0000000000,188.0000000000,6629.5618270794,6556.5483735001,False,False,,,,,,0,,,False,False,False,0,0
