stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,block
0.2500000000,9.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,9.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,9.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,10.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,10.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,10.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,10.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,11.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,11.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,11.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,11.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
