date,NVDA,MSFT,AAPL,AMZN,GOOGL,META,AVGO,TSLA,AMD
2025-12-11,-371.6413456000,-96.3518860000,27.8545680000,31.4056080000,-103.4385088000,-69.4800702000,-313.5287540000,133.4184300000,-382.4870600000
2025-12-12,-304.3626880000,30.0056860000,0.1155880000,167.6484364000,-101.3915080000,23.0025580000,391.5254200000,30.9327040000,84.2081377000
2025-12-15,131.0055830000,70.9150260000,44.5109040000,-186.5511200000,405.4344977600,-17.2116000000,-334.8229020000,430.1090400000,367.4388560000
2025-12-16,-96.1913991600,115.8315883200,113.4091500000,-50.0328000000,-63.6004200000,24.3813600000,-100.5196840000,-479.5204610000,189.1004160000
2025-12-17,114.1241640000,19.8538200000,-189.8098560000,12.2755280000,-138.5582000000,-236.4989100000,-341.6645591200,-501.2777260000,-288.0033620000
2025-12-18,-155.8222680000,199.1364800000,19.6525490000,137.6837440000,45.6218100000,-13.5814800000,-166.4300820000,146.2219285000,-493.4595360000
2025-12-19,-114.7967550000,51.4113350000,-76.3771260000,94.7455612800,-346.8933000000,48.2766766000,-257.6740630000,-6.5342520000,504.9346200000
2025-12-22,19.3976618400,-39.4047720000,-60.2593100000,76.2912940000,-107.6136960000,74.3796600000,440.9202920000,-124.5236000000,-39.3310020000
2025-12-23,-559.0802520000,-2.1168300000,76.2341920000,-41.2603920000,-15.2902260000,-18.6859800000,-430.6641520000,-30.8055140000,-49.4994040000
2025-12-24,91.8620300000,19.3062000000,42.8988600000,-19.9732150000,43.3145160000,-0.4108720000,-5.2461090000,-122.2047640000,15.4666309800
2025-12-26,243.8385420000,62.8625530000,-93.3505920000,23.7935400000,17.4823740000,-14.4697800000,29.4483123200,171.0087950200,-33.3972880000
2025-12-29,123.7984600000,22.5217018000,-34.4140250000,96.3630068800,100.9870080000,74.3967000000,-134.0221050000,473.7174840000,-179.0557560000
2025-12-30,46.4148560000,56.1063600000,-24.1741690000,109.5487647000,-12.4460910000,30.4897590000,-51.9908970000,-186.8179290000,27.5809928000
2025-12-31,-256.4171400000,71.3052320000,-46.4163200000,23.2707400000,-18.4106160000,-80.1432000000,0.0000000000,-186.2356760000,-89.5480252000
2026-01-02,-55.9349679000,36.6917880000,121.7270400000,204.4877824000,-72.7828640000,-62.3537448000,-215.4194560000,338.9981527000,68.4546957800
2026-01-05,49.3326750000,27.0480000000,-89.1050280000,96.4366650000,9.6629400000,178.9266420000,-110.4315360000,-110.7982480000,-159.8412980000
2026-01-06,-38.3681840000,-189.7366800000,-80.4060000000,-80.5220137600,81.4305870000,148.7890212000,532.0784520000,81.1996140000,-107.6455470000
2026-01-07,113.3421450000,60.6498240000,165.8469902400,105.6171120000,212.5029280000,74.4745800000,-169.8581190000,-226.8183591000,39.3388350000
2026-01-08,67.8354264000,9.9078960000,-161.4100796000,42.8988960000,-73.4687660000,179.6868500000,19.4128368000,-20.3078700000,15.6237900000
2026-01-09,251.2825420000,83.0965450000,150.8955140000,56.6359380000,314.0621880000,16.1087100000,-131.3447120000,15.8341480000,-84.1249640000
2026-01-12,125.0757240000,-67.7798470000,48.1662920000,18.6362400000,154.1665700000,-13.6551286200,330.2819158400,81.5328800000,123.4671300000
2026-01-13,-104.3438760000,141.0957576000,-57.8580400000,149.0678094800,-153.6579480000,-86.1468920000,-114.4750320000,-116.8667253600,310.7689340000
2026-01-14,103.6249740000,-101.7159349800,120.8404120000,96.4516560000,-105.7328380000,-223.5035520000,-69.7837440000,64.2138300000,230.8029558000
2026-01-15,123.8071520000,144.0297040000,-92.8277350000,-212.8962815200,17.9889600000,174.5237760000,276.7442340000,299.9192240000,166.6936440000
2026-01-16,-248.2456400000,87.2301440000,-23.3399400000,89.1251910000,4.2579600000,-142.0540096000,203.9806332000,-35.1948600000,161.9147150000
2026-01-20,239.9997180000,-68.5735608800,843.6289303600,-23.0974520000,-84.5597884400,-108.7871366400,154.5450720000,-300.3050420800,-309.3466340000
2026-01-21,321.3816120000,-226.4095680000,9.5194400000,261.0524820000,103.3332000000,-261.5758720000,281.2807800000,-351.4718280000,-240.4351311200
2026-01-22,-81.4351320000,-152.5393760000,107.8693600000,-62.5466550000,75.3312600000,-256.2070640000,-258.4818000000,-387.2278800000,19.6711320000
2026-01-23,24.6841140000,-242.1861480000,-14.8937600000,2.6806510000,-100.3132200000,50.6463000000,-14.5697520000,-123.6885320000,104.9846530000
2026-01-26,-16.2175620000,54.7913520000,70.2806520000,-62.0417530000,-82.0495300000,50.2669586000,75.1997020000,141.2215200000,177.2156880000
2026-01-27,-58.8637716000,-6.3854507000,-164.9747200000,-47.8477380000,-47.3287380000,-27.9655068000,311.4310800000,210.5848800000,76.0294420000
2026-01-28,135.4986880000,129.1902620000,80.7809340000,236.7800282400,191.1781000000,-88.3078420000,243.6626040000,-111.3214720000,-29.8653180000
2026-01-29,-362.5962900000,296.2094300000,176.6859900000,53.9916943200,100.0307140000,149.5380949200,-166.7263200000,-201.3667060000,119.6987880000
2026-01-30,362.6670927200,-37.2148280000,576.4009680000,15.9277000000,81.0076490000,331.5985668000,-89.6903400000,203.3915400000,-305.6706156800
2026-02-02,-62.4109980000,81.9347240000,486.4743000000,-153.5978520000,25.8251971600,98.8112944000,-22.4694600000,-28.6994690000,-152.9691020000
2026-02-03,262.4569920000,-2.9545920000,20.7292500000,-174.4523880000,-105.3415720000,-298.1556040000,285.3676414400,623.1715760000,-494.2082820000
2026-02-04,267.4303200000,-10.9291680000,138.0849840000,117.3730720000,373.2612000000,76.5706140000,-353.7159760000,-195.3653760000,-11.4103459800
2026-02-05,133.7837880000,432.8213120000,-127.4369040000,205.3553960000,-252.6784624000,218.1532534200,-409.0234680000,126.6830000000,-182.0801040000
2026-02-06,171.0756578600,358.7070000000,181.1390340000,-186.2672220000,284.7702120000,223.1141388000,51.3081700000,-47.7732835200,-218.6494980000
2026-02-09,-129.8074960000,-43.0706400000,-64.0983595600,108.9209922400,188.8629540000,37.9360228800,174.4110510000,42.3432870000,-17.7872800000
2026-02-10,61.6793100000,-289.6860980000,-9.9732614600,-224.4865520000,7.1596980000,26.2259760000,-110.9840440000,19.9101800000,235.2467600000
2026-02-11,-21.1042020000,11.3386000000,159.2126705800,38.9259060000,0.0000000000,303.0851286600,286.5427040000,-68.9116790800,492.3939560000
2026-02-12,245.1282330000,-124.3644000000,-161.3950800000,-277.0580840000,-103.5079920000,-146.9296500000,108.1752610000,-128.2747970000,506.8221200000
2026-02-13,211.1503248000,-4.0399030000,-239.4860160000,233.8770060000,46.8568100000,-239.8159490000,-245.2700400000,589.3890350000,126.8032450000
2026-02-17,-421.4839378400,-95.3016000000,269.6656320000,173.7772740000,-197.5571400000,154.2068340000,370.0315900000,-255.0577890000,-357.8048780000
2026-02-18,-138.3252150000,-75.8165259600,-102.2209500000,-61.0106720000,230.9641100000,-76.4388700000,286.6944520000,-98.0074560000,-166.7684700000
2026-02-19,82.4696960000,-53.8273000000,266.8546500000,-12.5102840000,117.0955500000,228.6595826000,-135.7590000000,-0.0866889600,278.9044830000
2026-02-20,164.6934490000,26.6988000000,-361.3266480000,-3.5419340000,-10.4353200000,223.2622812000,243.1440880000,235.6549160000,62.8095000000
2026-02-23,14.1843520000,-47.5314798000,53.3744980000,112.6587100000,246.9052420000,-190.7461620000,-155.0767800000,14.1575000000,31.7584400000
2026-02-24,-24.5606445800,-90.8960760000,-47.1561020000,-88.6729856000,-106.4133120000,28.5864330000,48.3557967800,-198.2034810000,-259.2326588000
2026-02-25,-106.6101460000,-37.8539000000,21.1137120000,-1.3640674400,152.5313920000,148.9775232000,50.0929800000,-64.9785600000,229.0724850000
2026-02-26,544.8381760000,25.1081880000,126.5944100000,135.3486720000,-113.2770145000,-74.9507340000,107.2521120000,17.1354960000,-61.5804560000
2026-02-27,-422.7974300000,-63.2156000000,-189.3383120000,-152.3231398400,-337.0439300000,25.5673060000,147.1456980000,-37.6410169800,5.0023560000
2026-03-02,140.5455016000,-57.5772500000,119.1296960000,221.4731940000,-331.3750700000,148.8928200000,200.1007260000,-0.8949360000,-346.3895100000
2026-03-03,-33.9972600000,88.0086550000,57.5090632000,22.8621680000,218.5136040000,-70.1872260000,83.6143560000,355.9815960000,188.6837400000
2026-03-04,4.8848350000,-4.3617840000,-152.4273000000,-13.2194800000,115.1417800000,217.8654260000,-273.0994600000,74.0150840800,-156.0450440000
2026-03-05,371.8556340000,92.6006400000,-53.2057680000,-34.5418374600,156.3225240000,-82.4967384000,98.1183000000,-85.7570687400,151.5864632000
2026-03-06,-205.3307514000,-128.6856000000,0.0771386000,-194.6013840000,87.9988560000,8.6818200000,26.2829740000,-26.5348500000,-170.6392660000
2026-03-09,388.6631820000,-95.0808740000,-186.0200120000,170.0289582000,-363.7498080000,-338.1006320000,-627.9706300000,64.4332720000,815.3762860400
2026-03-10,-68.5887120000,57.8408740000,83.1037960000,19.2699720000,135.0231040000,236.5477800000,-309.8005860000,175.3002930000,1.1489520000
2026-03-11,-1.2187300000,142.6713400000,-9.9803200000,-41.5824390000,12.7732480000,74.4423600000,-61.1188920000,-132.7374211200,-35.4343680000
2026-03-12,127.3638100000,172.5539900000,-61.1648700000,-23.3547050000,14.5101879000,-127.5000860000,-50.8131600000,-93.7671000000,62.3738000000
2026-03-13,106.7686500000,69.7220000000,-187.4274210000,-76.1357400000,-128.3797500000,-220.2615820800,-317.0096800000,222.8703820000,265.6377770000
2026-03-16,375.1929760000,-26.5955500000,27.4400880000,-157.4781520000,83.9183800000,37.5919044800,-186.7595412000,376.6046360000,283.3776000000
2026-03-17,101.8074388000,-26.3364000000,27.0049260000,-106.2869100000,-178.0913300000,91.7672320000,-36.3075720000,113.9400500000,26.7050060000
2026-03-18,127.5441700000,-148.2114000000,-292.4368840000,99.3461700000,206.0375040000,239.5884889600,-366.3884420000,-305.0163500000,700.2184480000
2026-03-19,130.0426716000,-19.6143756000,10.4387680000,128.3792540000,-85.4187750000,9.9299842400,-268.0072920000,-84.8323008000,-421.9996219200
