date,daily_net_pnl,daily_gross_pnl,equity,daily_return
2026-02-18,23.9534110400,82.8952000000,109596.2270135410,0.0002186083
2026-02-19,407.9039070400,450.1952000000,110004.1309205810,0.0037218791
2026-02-20,727.2259032000,845.6100000000,110731.3568237810,0.0066108963
2026-02-23,347.8067562200,407.3409000000,111079.1635800010,0.0031409961
2026-02-24,-519.5444012000,-434.4318000000,110559.6191788010,-0.0046772444
2026-02-25,590.3745047600,649.1050000000,111149.9936835610,0.0053398746
2026-02-26,723.6955355000,814.0525000000,111873.6892190610,0.0065109813
2026-02-27,-755.7590548200,-695.1449000000,111117.9301642411,-0.0067554673
2026-03-02,-38.1647432000,63.9860000000,111079.7654210411,-0.0003434616
2026-03-03,779.9540350000,856.8430000000,111859.7194560411,0.0070215672
2026-03-04,-282.1499742400,-215.9512000000,111577.5694818011,-0.0025223555
2026-03-05,223.2585251800,309.0263000000,111800.8280069811,0.0020009266
2026-03-06,-150.0034624800,-77.3784000000,111650.8245445011,-0.0013417026
2026-03-09,44.9031522000,172.5002000000,111695.7276967011,0.0004021748
2026-03-10,8.3770870000,58.9150000000,111704.1047837011,0.0000749992
2026-03-11,-168.9658591200,-109.5556000000,111535.1389245811,-0.0015126200
2026-03-12,62.8799190000,105.2550000000,111598.0188435811,0.0005637678
2026-03-13,-459.9592084400,-375.4082000000,111138.0596351411,-0.0041215715
2026-03-16,823.7221224800,875.5924000000,111961.7817576211,0.0074117015
2026-03-17,188.3768548000,247.7660000000,112150.1586124211,0.0016825103
2026-03-18,-820.0836497600,-752.8400000000,111330.0749626611,-0.0073123717
2026-03-19,-796.3575937200,-719.8170000000,110533.7173689411,-0.0071531219
2026-03-20,168.8208799600,253.8002000000,110702.5382489012,0.0015273247
2026-03-23,659.4174812000,744.0700000000,111361.9557301012,0.0059566609
2026-03-24,400.7733440400,494.0368000000,111762.7290741412,0.0035988354
2026-03-25,545.2490700000,603.3100000000,112307.9781441412,0.0048786306
2026-03-26,1119.1661820800,1228.8296000000,113427.1443262212,0.0099651530
2026-03-27,-258.8902490000,-183.4150000000,113168.2540772212,-0.0022824365
2026-03-30,-153.8673459400,-73.0303000000,113014.3867312812,-0.0013596335
2026-03-31,578.9672980000,689.3300000000,113593.3540292812,0.0051229522
2026-04-01,685.3227133200,787.4400000000,114278.6767426012,0.0060331233
2026-04-02,123.2974952800,191.4820000000,114401.9742378812,0.0010789195
2026-04-06,-548.1430992800,-471.8536000000,113853.8311386013,-0.0047913780
2026-04-07,441.9273360000,518.9900000000,114295.7584746013,0.0038815324
2026-04-08,-751.6863389600,-675.8910000000,113544.0721356413,-0.0065766775
2026-04-09,-628.2255260000,-559.7700000000,112915.8466096413,-0.0055328782
2026-04-10,236.0658202200,320.7621000000,113151.9124298613,0.0020906350
2026-04-13,-878.7545700000,-819.5700000000,112273.1578598613,-0.0077661486
2026-04-14,-759.6276028000,-679.5680000000,111513.5302570613,-0.0067658879
2026-04-15,-78.8487365600,-7.2028000000,111434.6815205013,-0.0007070778
2026-04-16,689.6179000000,765.3700000000,112124.2994205013,0.0061885392
2026-04-17,442.2581077600,534.5872000000,112566.5575282613,0.0039443556
2026-04-20,-349.6609690000,-290.0150000000,112216.8965592613,-0.0031062598
2026-04-21,641.2747055600,716.6022000000,112858.1712648213,0.0057146003
2026-04-22,-1086.0785827600,-1001.9162000000,111772.0926820613,-0.0096233934
2026-04-23,-716.1434154400,-610.7156000000,111055.9492666213,-0.0064071755
2026-04-24,-314.5160220000,-213.6500000000,110741.4332446214,-0.0028320502
2026-04-27,-244.2705460000,-176.8400000000,110497.1626986214,-0.0022057737
2026-04-28,-32.6827787600,42.5056000000,110464.4799198614,-0.0002957793
2026-04-29,-475.9663539200,-349.1650000000,109988.5135659414,-0.0043087729
2026-04-30,438.4240978400,572.7400000000,110426.9376637814,0.0039860899
2026-05-01,240.1690740000,349.1900000000,110667.1067377814,0.0021749138
2026-05-04,288.5173480000,389.7100000000,110955.6240857814,0.0026070741
2026-05-05,-113.5273846000,-62.0550000000,110842.0967011814,-0.0010231783
2026-05-06,216.5314678800,343.0750000000,111058.6281690614,0.0019535129
2026-05-07,746.5017724000,880.5350000000,111805.1299414615,0.0067216909
2026-05-08,-127.2986027600,5.8758000000,111677.8313387015,-0.0011385757
2026-05-11,-1003.4987678400,-894.8450000000,110674.3325708615,-0.0089856577
2026-05-12,80.9129281200,198.3200000000,110755.2454989815,0.0007310903
2026-05-13,-541.9166327000,-458.0965000000,110213.3288662815,-0.0048929207
2026-05-14,-185.3270439200,-133.8400000000,110028.0018223615,-0.0016815302
2026-05-15,493.5008490000,585.3150000000,110521.5026713615,0.0044852296
2026-05-18,-44.6258196000,54.3680000000,110476.8768517615,-0.0004037750
2026-05-19,-974.2564200600,-855.7317000000,109502.6204317016,-0.0088186456
2026-05-20,-1046.2844600000,-979.4200000000,108456.3359717016,-0.0095548806
2026-05-21,-96.6504844400,-21.6300000000,108359.6854872616,-0.0008911465
2026-05-22,10.2661032400,110.5602000000,108369.9515905016,0.0000947410
2026-05-26,-295.5822610000,-228.2450000000,108074.3693295016,-0.0027275297
2026-05-27,-58.9281518800,40.8692000000,108015.4411776216,-0.0005452556
2026-05-28,468.1732841200,543.3600000000,108483.6144617416,0.0043343181
2026-05-29,218.7244084400,322.5250000000,108702.3388701816,0.0020161976
2026-06-01,565.9103518000,658.0776000000,109268.2492219816,0.0052060550
2026-06-02,-1338.4379828400,-1205.4700000000,107929.8112391416,-0.0122491025
2026-06-03,388.9019572000,513.4480000000,108318.7131963416,0.0036032858
2026-06-04,-244.9120037200,-129.5114000000,108073.8011926216,-0.0022610313
2026-06-05,493.5403270000,619.8600000000,108567.3415196216,0.0045666972
2026-06-08,424.6519932000,542.3700000000,108991.9935128217,0.0039114156
2026-06-09,-1809.5349959600,-1635.1700000000,107182.4585168617,-0.0166024580
2026-06-10,314.3981143200,399.2114000000,107496.8566311817,0.0029332982
2026-06-11,-472.2293810000,-295.9650000000,107024.6272501817,-0.0043929599
2026-06-12,557.9055428000,674.0250000000,107582.5327929817,0.0052128707
2026-06-15,291.6247070000,358.9000000000,107874.1574999817,0.0027107068
2026-06-16,-160.7570242400,-43.5900000000,107713.4004757417,-0.0014902274
2026-06-17,-74.3993786600,59.8899000000,107639.0010970818,-0.0006907161
2026-06-18,166.8269657052,276.4779260000,107805.8280627870,0.0015498747
2026-06-22,108.2083023600,200.2650000000,107914.0363651470,0.0010037333
2026-06-23,-752.4556360000,-701.2670000000,107161.5807291470,-0.0069727318
2026-06-24,224.4899173200,333.5156000000,107386.0706464670,0.0020948731
2026-06-25,-319.7362126800,-169.6364000000,107066.3344337870,-0.0029774459
2026-06-26,-166.9936204000,-74.3700000000,106899.3408133870,-0.0015597211
2026-06-29,-1671.7312477200,-1555.7848000000,105227.6095656670,-0.0156383682
2026-06-30,223.0226800000,355.9500000000,105450.6322456671,0.0021194312
2026-07-01,162.7263010000,229.0400000000,105613.3585466671,0.0015431515
2026-07-02,123.4042769400,208.3053000000,105736.7628236071,0.0011684533
2026-07-06,-579.7152708000,-486.6700000000,105157.0475528071,-0.0054826274
2026-07-07,-423.9790030000,-323.6450000000,104733.0685498071,-0.0040318648
2026-07-08,-257.4347052400,-156.3958000000,104475.6338445671,-0.0024580079
2026-07-09,-1851.4533273800,-1734.3069000000,102624.1805171871,-0.0177213888
2026-07-10,-561.8238075600,-494.8822000000,102062.3567096271,-0.0054745753
2026-07-13,-180.7335270000,-104.3586000000,101881.6231826271,-0.0017708148
2026-07-14,-260.8481244800,-152.5500000000,101620.7750581471,-0.0025603059
2026-07-15,-503.4769710000,-394.7150000000,101117.2980871472,-0.0049544689
2026-07-16,-253.5608385600,-61.7100000000,100863.7372485872,-0.0025075911
2026-07-17,655.7208973600,785.6110000000,101519.4581459472,0.0065010569
2026-07-20,-1404.7467539600,-1275.4800000000,100114.7113919872,-0.0138372168
2026-07-21,142.1800878800,226.7900000000,100256.8914798672,0.0014201718
2026-07-22,-1496.3976682600,-1363.4937000000,98760.4938116072,-0.0149256340
2026-07-23,140.8775172800,216.5214000000,98901.3713288872,0.0014264562
2026-07-24,321.3121312000,405.2040000000,99222.6834600872,0.0032488137
2026-07-27,445.7373500000,554.4900000000,99668.4208100872,0.0044922928
2026-07-28,888.7312316000,1038.1530000000,100557.1520416873,0.0089168788
2026-07-29,-507.2976145600,-368.5400000000,100049.8544271273,-0.0050448686
2026-07-30,116.3978624400,217.7180000000,100166.2522895673,0.0011633986
2026-07-31,-1221.0405790000,-1144.8250000000,98945.2117105673,-0.0121901394
2026-08-03,222.3784025400,327.0441000000,99167.5901131073,0.0022474903
2026-08-04,385.2429986800,469.2466000000,99552.8331117873,0.0038847672
2026-08-05,-385.8186515000,-260.6865000000,99167.0144602873,-0.0038755165
2026-08-06,28.6562522000,78.9390000000,99195.6707124873,0.0002889696
2026-08-07,572.8215391200,640.4900000000,99768.4922516073,0.0057746627
2026-08-10,-121.1202410000,-28.6750000000,99647.3720106073,-0.0012140129
2026-08-11,-18.4456845000,81.6375000000,99628.9263261074,-0.0001851096
2026-08-12,633.4129970000,701.0740000000,100262.3393231074,0.0063577218
2026-08-13,352.3401358800,448.5276000000,100614.6794589874,0.0035141823
2026-08-14,680.8367666000,789.6750000000,101295.5162255874,0.0067667737
2026-08-17,-35.0438106800,55.8650000000,101260.4724149074,-0.0003459562
2026-08-18,-239.7431747200,-173.0092000000,101020.7292401874,-0.0023675889
2026-08-19,-243.6909496000,-167.6400000000,100777.0382905874,-0.0024122866
2026-08-20,604.0105203200,675.5786000000,101381.0488109074,0.0059935332
2026-08-21,-525.1091347200,-441.5264000000,100855.9396761874,-0.0051795591
