period,stop_usd,max_holding_bars,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,net_sharpe,net_sortino,profit_factor,positive_net_pnl_mass_usd,trade_cvar5_loss_usd,worst_trade_loss_usd,win_rate_pct,max_drawdown_usd_mtm,max_drawdown_pct_mtm,return_over_mtm_dd,avg_net_trade,avg_duration_bars,stops,targets,time_stops,forced_eod,final_equity,base_winner_count,matched_base_winner_count,base_winner_net_usd,base_winner_gross_usd,retained_base_winner_net_usd,retained_base_winner_gross_usd,core_winner_net_retention_pct,core_winner_gross_retention_pct,clipped_base_winner_net_usd,clipped_base_winner_gross_usd,overlay_net_on_base_winners_usd,base_loser_count,matched_base_loser_count,base_loser_net_usd,overlay_net_on_base_losers_usd,avoided_base_loser_loss_usd,avoided_worst5_base_loser_loss_usd,net_pnl_delta_vs_base,net_pnl_pct_of_base,sharpe_delta_vs_base,profit_factor_delta_vs_base,mdd_reduction_usd_vs_base,mdd_reduction_pct_vs_base,trade_cvar5_reduction_usd_vs_base,trade_cvar5_reduction_pct_vs_base,worst_trade_reduction_usd_vs_base,worst_trade_reduction_pct_vs_base,positive_net_pnl_mass_delta_vs_base,return_over_dd_delta_vs_base,utility_delta_usd,development_net_non_degradation_gate,is_baseline
development,4.250000000000,,125,48390,220,220,1384,3360.579699999987,1918.785091459809,166.614000000000,1752.171091459809,1441.794608540176,1.441794608540,0.765083595713,0.966465750876,1.109524488932,14605.924590840110,463.854834545454,489.071005999998,61.363636363636,2293.213216279983,2.262472384250,0.628722439896,6.553611857001,124.813636363636,11,106,0,103,101441.794608540178,130,129,14089.668316840107,15223.666399999993,13965.929428840105,15091.166399999993,99.121775720922,99.129644617016,123.738888000002,132.500000000000,13965.929428840105,80,79,-12070.882355819933,-11476.146232859937,594.736122959996,982.452572719997,-576.991352479998,71.418894146241,-0.391211121740,-0.057719785473,-567.656573999993,-32.897011902776,35.413675305454,7.093112144411,113.022600000001,18.771599444622,516.256274000003,-0.541210735032,-486.532888283273,False,False
development,4.500000000000,330.000000000000,125,48390,220,220,1384,3507.239899999980,1918.642563379802,166.537000000000,1752.105563379802,1588.597336620178,1.588597336620,0.872537639857,1.126929730512,1.123464269793,14455.456220440106,465.895179741817,517.326655999997,60.454545454545,1937.719740899949,1.918173612519,0.819828225460,7.220896984637,124.886363636364,9,104,6,101,101588.597336620180,130,128,14089.668316840107,15223.666399999993,13816.629038440104,14933.114399999991,98.062131256322,98.091445303872,273.039278400003,290.552000000001,13816.629038440104,80,79,-12070.882355819933,-11513.114033859934,557.768321959999,873.930872719999,-430.188624399997,78.690726371873,-0.283757077595,-0.043780004611,-212.163098619960,-12.295342466395,33.373330109091,6.684445233499,84.766950000002,14.078699583467,365.787903599999,-0.350104949468,-511.755063201455,False,False
development,4.750000000000,,125,48390,214,214,1390,3589.578199999985,1866.412226719809,162.085000000000,1704.327226719809,1723.165973280176,1.723165973280,0.948176774690,1.227802007865,1.137794798769,14228.470880840105,487.644775196363,545.582305999999,61.214953271028,1823.834421539956,1.805437074908,0.944803954202,8.052177445234,129.149532710280,9,103,0,102,101723.165973280178,130,127,14089.668316840107,15223.666399999993,13713.400762840105,14821.166399999993,97.329478980351,97.356090251689,376.267554000002,402.500000000000,13713.400762840105,80,79,-12070.882355819933,-11545.126442859932,525.755912960001,765.409172719999,-295.619987739999,85.356546288314,-0.208117942763,-0.029449475636,-98.277779259966,-5.695424702495,11.623734654545,2.328152972840,56.511300000000,9.385799722311,138.802563999998,-0.225129220726,-512.993839868728,False,False
development,5.000000000000,330.000000000000,125,48390,213,213,1391,3379.124899999980,1857.593753659811,161.238000000000,1696.355753659811,1521.531146340167,1.521531146340,0.859959791735,1.131132687213,1.122480831678,13944.137406440102,492.030910330908,573.837955999997,60.563380281690,1992.862915279999,1.959483822544,0.763490120005,7.143338715212,129.474178403756,8,100,6,99,101521.531146340174,130,128,14089.668316840107,15223.666399999993,13819.088432440103,14935.614399999991,98.079586557218,98.107867103551,270.579884400004,288.052000000001,13819.088432440103,80,79,-12070.882355819933,-11638.684532099938,432.197823719995,656.887472719998,-497.254814680007,75.368621325823,-0.296334925718,-0.044763442727,-267.306273000009,-15.491017011578,7.237599520000,1.449640699783,28.255650000002,4.692899861156,-145.530910400004,-0.406443054923,-632.838404776011,False,False
development,5.000000000000,300.000000000000,125,48390,217,217,1387,3465.599699999978,1892.466865899807,164.304000000000,1728.162865899807,1573.132834100169,1.573132834100,0.892048695723,1.176038444056,1.125386861308,14119.366288640107,487.760104876363,573.837955999997,60.368663594470,2204.184897979998,2.161263464456,0.713702754947,7.249460064978,125.990783410138,7,102,14,94,101573.132834100164,130,128,14089.668316840107,15223.666399999993,13734.302478640104,14850.845399999989,97.477826800399,97.551043288757,355.365838200003,372.821000000004,13734.302478640104,80,79,-12070.882355819933,-11660.596434039937,410.285921779996,713.598812719998,-445.653126920005,77.924696549069,-0.264246021729,-0.041857413097,-478.628255700009,-27.737614864244,11.508404974546,2.305053242389,28.255650000002,4.692899861156,29.697971800000,-0.456230419981,-652.545000088735,False,False
development,4.000000000000,330.000000000000,125,48390,224,224,1380,3263.060099999984,1953.535295419793,169.582000000000,1783.953295419793,1309.524804580190,1.309524804580,0.698123831712,0.882245979466,1.097605214260,14726.070370440108,439.717170166665,460.815355999996,60.714285714286,2226.340575559996,2.195567583952,0.588196082376,5.846092877590,120.790178571429,13,106,4,101,101309.524804580185,130,129,14089.668316840107,15223.666399999993,13944.123068440102,15069.364399999991,98.967007277055,98.986433386375,145.545248400005,154.302000000001,13944.123068440102,80,80,-12070.882355819933,-11833.528541859927,237.353813960006,658.338652000003,-709.261156439984,64.866946266975,-0.458170885741,-0.069639060145,-500.783933280007,-29.021587643644,59.551339684243,11.927717953216,141.278250000003,23.464499305778,636.402053600001,-0.581737092551,-693.363004597868,False,False
development,6.250000000000,,125,48390,207,207,1397,3415.815799999992,1805.463940559813,156.800000000000,1648.663940559813,1610.351859440177,1.610351859440,0.880171438949,1.133616694306,1.132096823278,13801.045166680107,510.160414525453,715.116205999997,61.352657004831,1881.622862679986,1.859140031567,0.855831363117,7.779477581837,133.642512077295,3,100,0,104,101610.351859440183,130,127,14089.668316840107,15223.666399999993,13801.045166680105,14908.827199999994,97.951526298067,97.931909490607,288.623150160001,314.839199999999,13801.045166680105,80,80,-12070.882355819933,-12190.693307239930,-119.810951419997,-13.882041439998,-408.434101579997,79.768330597385,-0.276123278504,-0.035147451127,-156.066220399996,-9.044398577017,-10.891904674545,-2.181572532543,-113.022599999998,-18.771599444622,-288.623150160000,-0.314101811810,-697.057251739998,False,False
development,6.000000000000,,125,48390,207,207,1397,3394.647599999991,1805.438106919816,156.800000000000,1648.638106919816,1589.209493080173,1.589209493080,0.861798093662,1.104048830278,1.130136822633,13801.045166680107,512.082447830908,686.860555999998,61.352657004831,1956.776029039975,1.932855604647,0.812157073418,7.677340546281,133.608695652174,4,100,0,103,101589.209493080169,130,127,14089.668316840107,15223.666399999993,13801.045166680105,14908.827199999994,97.951526298067,97.931909490607,288.623150160001,314.839199999999,13801.045166680105,80,80,-12070.882355819933,-12211.835673599933,-140.953317780000,-60.519307800000,-429.576467940001,78.721049371528,-0.294496623790,-0.037107451771,-231.219386759985,-13.399698456405,-12.813937980000,-2.566542396961,-84.766949999999,-14.078699583466,-288.623150160000,-0.357776101509,-718.199618100002,False,False
development,3.500000000000,330.000000000000,125,48390,226,226,1378,3132.132299999982,1970.946590979785,171.101000000000,1799.845590979785,1161.185709020197,1.161185709020,0.619176485822,0.781289399017,1.085426507012,14753.989039440106,393.448962733331,407.841155999999,60.619469026549,2149.877576760002,2.124343098987,0.540117131121,5.137989862921,119.207964601770,17,106,4,99,101161.185709020196,130,129,14089.668316840107,15223.666399999993,13944.123068440102,15069.364399999991,98.967007277055,98.986433386375,145.545248400005,154.302000000001,13944.123068440102,80,80,-12070.882355819933,-11698.335633059925,372.546722760007,928.371452000001,-857.600251999977,57.519010506364,-0.537118231631,-0.081817767392,-424.320934480013,-24.590379943677,105.819547117577,21.194917169756,194.252450000000,32.262832234761,664.320722599999,-0.629816043807,-764.561436441194,False,False
development,5.500000000000,330.000000000000,125,48390,214,214,1390,3266.874899999983,1866.364280379806,161.980000000000,1704.384280379806,1400.510619620175,1.400510619620,0.787638434496,1.031215786193,1.110570975764,14066.679204440105,513.409456214544,630.349255999998,60.747663551402,1914.881539280002,1.885455801133,0.731382381046,6.544442147758,128.504672897196,6,101,7,100,101400.510619620181,130,129,14089.668316840107,15223.666399999993,13942.827320440105,15068.114399999991,98.957810836296,98.978222486536,146.840996400002,155.552000000001,13942.827320440105,80,80,-12070.882355819933,-12407.421156819932,-336.538800999999,-105.310459999998,-618.275341399999,69.373903259781,-0.368656282957,-0.056673298640,-189.324897000013,-10.971815839662,-14.140946363636,-2.832332919987,-28.255649999999,-4.692899861155,-22.989112400002,-0.438550793881,-765.116337800001,False,False
development,5.750000000000,300.000000000000,125,48390,217,217,1387,3346.409699999978,1892.536824619802,164.304000000000,1728.232824619802,1453.872875380176,1.453872875380,0.814615889135,1.064247432445,1.114801944808,14118.056202640106,498.482820578180,658.604905999999,60.368663594470,2110.243689979994,2.074716198145,0.688959707489,6.699875001752,125.940092165899,5,102,15,95,101453.872875380170,130,129,14089.668316840107,15223.666399999993,13858.041366640105,14983.345399999989,98.356051079477,98.421398671742,231.626950200001,240.321000000004,13858.041366640105,80,80,-12070.882355819933,-12312.118926759933,-241.236570940000,118.854961999999,-564.913085639998,72.017187728286,-0.341678828317,-0.052442329596,-384.687047700005,-22.293504500189,0.785689272728,0.157368080948,-56.511300000000,-9.385799722311,28.387885799999,-0.480973467438,-772.376198803636,False,False
development,6.500000000000,,125,48390,207,207,1397,3336.315799999992,1805.469640559814,156.800000000000,1648.669640559814,1530.846159440176,1.530846159440,0.830134798837,1.063161659467,1.124761314673,13801.045166680107,517.388205434544,743.371855999998,61.352657004831,1907.117762679991,1.884856517100,0.802701432181,7.395392074590,133.758454106280,3,100,0,104,101530.846159440174,130,127,14089.668316840107,15223.666399999993,13801.045166680105,14908.827199999994,97.951526298067,97.931909490607,288.623150160001,314.839199999999,13801.045166680105,80,80,-12070.882355819933,-12270.199007239931,-199.316651419998,-67.892841439998,-487.939801579998,75.830037903898,-0.326159918615,-0.042482959732,-181.561120400002,-10.521887021924,-18.119695583636,-3.629248635979,-141.278249999999,-23.464499305777,-288.623150160000,-0.367231742747,-776.562951740000,False,False
development,5.500000000000,300.000000000000,125,48390,218,218,1386,3369.309699999978,1901.237560619802,165.046000000000,1736.191560619802,1468.072139380175,1.468072139380,0.829072525273,1.088905444872,1.114928056493,14241.908086640105,508.451240578180,630.349255999998,60.550458715596,2110.243689979994,2.072052693448,0.695688439374,6.734275868716,125.064220183486,6,103,14,95,101468.072139380180,130,129,14089.668316840107,15223.666399999993,13858.041366640105,14983.345399999989,98.356051079477,98.421398671742,231.626950200001,240.321000000004,13858.041366640105,80,80,-12070.882355819933,-12421.771546759932,-350.889190939999,-41.037608000000,-550.713821639999,72.720544313588,-0.327222192179,-0.052316217911,-384.687047700005,-22.293504500189,-9.182730727272,-1.839236912822,-28.255649999999,-4.692899861155,152.239769799999,-0.474244735554,-782.340771840000,False,False
development,3.750000000000,330.000000000000,125,48390,224,224,1380,3124.668299999984,1953.569705779800,169.603000000000,1783.966705779800,1171.098594220184,1.171098594220,0.614142041301,0.767008413752,1.087192345724,14602.307314440110,413.733264333332,432.559705999998,60.267857142857,2282.187419560010,2.250240588737,0.513147423469,5.228118724197,121.142857142857,14,105,4,101,101171.098594220181,130,129,14089.668316840107,15223.666399999993,13944.123068440102,15069.364399999991,98.967007277055,98.986433386375,145.545248400005,154.302000000001,13944.123068440102,80,80,-12070.882355819933,-11579.440921859934,491.441433959999,793.355051999999,-847.687366799990,58.010042512302,-0.542152676152,-0.080051928681,-556.630777280021,-32.258041471449,85.535245517576,17.132113047370,169.533900000001,28.157399166933,512.638997600003,-0.656785751459,-791.793982041208,False,False
development,4.250000000000,330.000000000000,125,48390,223,223,1381,3075.153699999982,1944.820165859805,168.819000000000,1776.001165859805,1130.333534140177,1.130333534140,0.602065879055,0.758643258433,1.084016026691,14584.118230440105,456.170377133333,489.071005999998,60.538116591928,2335.157548279982,2.303854446830,0.484050223923,5.068760242781,122.847533632287,11,105,5,102,101130.333534140183,130,129,14089.668316840107,15223.666399999993,13944.123068440102,15069.364399999991,98.967007277055,98.986433386375,145.545248400005,154.302000000001,13944.123068440102,80,79,-12070.882355819933,-11526.758553859938,544.123801959995,982.452572719997,-888.452426879998,55.990756621320,-0.554228838398,-0.083228247713,-609.600905999992,-35.327782992653,43.098132717575,8.632255363040,113.022600000001,18.771599444622,494.449913599998,-0.685882951005,-815.958094377216,False,False
