trade_id,ticker,direction,entry_time,entry_price,exit_time,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score
36,NVDA,1,2024-10-29 12:47:00-04:00,141.468288,2024-10-29 14:17:00-04:00,141.366721,141,19943.04,-6.344999999998237,0.987,7.975947000000161,-15.307946999998398,-0.0007675834276017296,TAKE_PROFIT,90,-2.8280540885314034,0.562035330759334
37,NVDA,1,2024-10-29 15:37:00-04:00,141.923379,2024-10-29 15:56:00-04:00,141.341726,140,19865.300000000003,-73.5000000000008,0.98,7.931420000001594,-82.4114200000024,-0.004148511223087614,FORCED_EOD,19,-2.966425109249166,-2.3548390684158136
38,NVDA,-1,2024-10-30 12:52:00-04:00,140.17195999999998,2024-10-30 13:34:00-04:00,139.567908,142,19908.399999999998,93.71999999999952,0.994,7.94461600000011,84.7813839999994,0.004258573466476433,TAKE_PROFIT,42,2.82085865940071,-0.49384262979161353
39,NVDA,-1,2024-10-30 14:12:00-04:00,140.06188202,2024-10-30 14:50:00-04:00,140.03800199999998,142,19892.7658,11.345800000001304,0.994,7.954837159996259,2.3969628400050453,0.00012049419694093242,TAKE_PROFIT,38,2.7674848709961095,0.18841986164824653
40,NVDA,-1,2024-10-30 15:53:00-04:00,139.882018,2024-10-30 15:56:00-04:00,139.372869,142,19867.22,80.22999999999968,0.994,7.930842000002599,71.30515799999708,0.0035890858408975726,FORCED_EOD,3,2.747575327943177,1.3021114052071676
41,NVDA,1,2024-10-31 11:54:00-04:00,132.49649399999998,2024-10-31 12:14:00-04:00,133.478299,150,19870.5,155.2499999999995,1.05,7.979249999998217,146.22075000000126,0.007358684985279749,TAKE_PROFIT,20,-2.9302691205487723,0.2277681706581254
42,NVDA,1,2024-10-31 14:54:00-04:00,132.186432,2024-10-31 15:01:00-04:00,132.92840900000002,151,19956.16,120.0450000000024,1.057,8.006472999999403,110.981527000003,0.005561266646489254,TAKE_PROFIT,7,-2.854722268913695,0.7889603929092308
43,NVDA,1,2024-11-01 11:10:00-04:00,136.08711198,2024-11-01 11:32:00-04:00,136.852624,146,19864.7454,119.73459999999949,1.022,7.969845080001164,110.74275491999832,0.005574838876112569,TAKE_PROFIT,22,-2.8787145325118897,0.03419360813423236
44,NVDA,-1,2024-11-04 11:15:00-05:00,138.76064232,2024-11-04 12:17:00-05:00,137.347464,144,19985.529599999998,211.44960000000037,1.008,7.951921920002405,202.48967807999796,0.010131814474408423,TAKE_PROFIT,62,2.6947432883212925,-0.516929073593279
45,NVDA,1,2024-11-05 15:42:00-05:00,139.452885,2024-11-05 15:53:00-05:00,139.59207600000002,143,19937.775,27.884999999999025,1.0010000000000001,7.9806869999974595,18.903313000001564,0.0009481154742693988,TAKE_PROFIT,11,-2.5044429686192204,0.0177045776829813
46,NVDA,1,2024-11-07 13:17:00-05:00,147.72954,2024-11-07 13:32:00-05:00,147.74044600000002,135,19939.5,9.450000000002916,0.9450000000000001,7.977689999998319,0.5273100000045972,2.644549763056231e-05,TAKE_PROFIT,15,-2.5673993398217667,0.5709889023016079
47,NVDA,1,2024-11-07 15:18:00-05:00,148.36976802,2024-11-07 15:44:00-05:00,148.275339,134,19877.5734,-4.703399999999988,0.9380000000000001,7.950088680000931,-13.591488680000918,-0.000683759954321231,TAKE_PROFIT,26,-2.9486224957161107,-0.0007348246262553731
