trade_id,ticker,direction,entry_time,entry_price,exit_time,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score
61,NVDA,-1,2024-12-09 13:57:00-05:00,139.092176,2024-12-09 15:19:00-05:00,138.34766399999998,143,19894.16,114.40000000000163,1.0010000000000001,7.934783999999553,105.46421600000207,0.0053012650948822205,TAKE_PROFIT,82,-2.7913377903334364,0.5783697207031749
62,NVDA,-1,2024-12-10 14:40:00-05:00,135.162962,2024-12-10 14:45:00-05:00,135.65802618,147,19872.93,-64.81229999999988,1.029,7.962134460002204,-73.80343446000208,-0.0037137671425402333,TAKE_PROFIT,5,-2.6626767492554126,0.17633579963758217
63,NVDA,-1,2024-12-10 14:58:00-05:00,134.9665013,2024-12-10 15:15:00-05:00,134.966988,148,19979.038,7.918000000002053,1.036,7.990031599999384,-1.1080315999973305,-5.545970731910768e-05,TAKE_PROFIT,17,-2.116579060900076,0.20487456143320307
64,NVDA,-1,2024-12-11 15:54:00-05:00,139.212152,2024-12-11 15:56:00-05:00,139.367868,143,19911.32,-14.299999999999187,1.0010000000000001,7.967387999998522,-23.268387999997707,-0.0011686009767307092,FORCED_EOD,2,-2.1520905115052686,-0.9314545425971783
65,NVDA,1,2024-12-16 13:08:00-05:00,131.94478368,2024-12-16 13:20:00-05:00,131.508693,151,19919.678399999997,-57.89339999999919,1.057,7.956292680001809,-66.906692680001,-0.0033588239396475906,TAKE_PROFIT,12,2.718076146591737,-0.19340124804240616
66,NVDA,1,2024-12-16 14:36:00-05:00,132.27645,2024-12-16 14:56:00-05:00,131.863622,151,19969.75,-54.36000000000206,1.057,7.977028000000786,-63.39402800000285,-0.003174502835538895,TAKE_PROFIT,20,2.439670235010962,-0.19518518260819526
67,NVDA,1,2024-12-17 11:42:00-05:00,130.24604399999998,2024-12-17 13:01:00-05:00,130.67386,153,19923.66,73.43999999999843,1.071,7.984151999997351,64.38484800000109,0.0032315773306712263,TAKE_PROFIT,79,2.89765279599757,-0.1318887298213136
68,NVDA,-1,2024-12-18 14:11:00-05:00,133.913212,2024-12-18 14:51:00-05:00,133.766748,149,19957.06,29.799999999998306,1.043,7.976864000001228,20.78013599999708,0.001041242347319549,TAKE_PROFIT,40,-2.7249806480009418,1.1385465673132713
69,NVDA,1,2024-12-19 14:01:00-05:00,132.75834636,2024-12-19 14:23:00-05:00,132.15356400000002,150,19909.77,-82.76999999999788,1.05,7.947353999998086,-91.76735399999596,-0.004609161934065333,TAKE_PROFIT,22,2.5484107331183945,0.11026280790202868
70,NVDA,-1,2024-12-19 15:38:00-05:00,131.06368202000002,2024-12-19 15:42:00-05:00,131.611317,152,19925.6648,-75.2552000000012,1.064,7.985316959998499,-84.30451695999969,-0.004230951278473765,TAKE_PROFIT,4,-1.516249132970621,0.1781033547152253
71,NVDA,-1,2024-12-20 13:18:00-05:00,133.68325800000002,2024-12-20 13:54:00-05:00,134.08181100000002,149,19922.79,-51.40499999999983,1.043,7.979396999999068,-60.4273969999989,-0.003033079051678951,TAKE_PROFIT,36,-2.658067102851876,0.6806914128201527
72,NVDA,1,2024-12-23 13:04:00-05:00,138.517698,2024-12-23 14:32:00-05:00,139.17186006,144,19942.56,102.19679999999971,1.008,7.997463359999074,93.19133664000064,0.004672987652538122,TAKE_PROFIT,88,1.6624404597873672,0.21966383297503878
73,NVDA,-1,2024-12-24 11:53:00-05:00,140.7413461,2024-12-24 12:26:00-05:00,140.97008838,142,19989.269,-24.480800000001466,0.994,8.000603759999365,-33.47540376000083,-0.0016746687315079322,TAKE_PROFIT,33,-2.7842012997519467,-0.10197482922316484
