date,daily_net_pnl,daily_gross_pnl,equity,daily_return
2025-12-26,226.0773933800,272.4163000000,102058.9284447606,0.0022200831
2025-12-29,294.4004174400,349.7920000000,102353.3288622006,0.0028846121
2025-12-30,-2.8140186600,43.5027000000,102350.5148435406,-0.0000274932
2025-12-31,-320.0188891000,-283.2255000000,102030.4959544406,-0.0031266955
2026-01-02,198.8620461200,273.3872000000,102229.3580005606,0.0019490452
2026-01-05,-62.5302966000,10.9650000000,102166.8277039606,-0.0006116667
2026-01-06,184.7008335200,239.9100000000,102351.5285374806,0.0018078357
2026-01-07,205.6541385800,275.4821000000,102557.1826760606,0.0020092923
2026-01-08,42.6198958400,103.0208000000,102599.8025719006,0.0004155720
2026-01-09,371.5956360000,427.5300000000,102971.3982079006,0.0036217968
2026-01-12,441.6909865000,510.9241000000,103413.0891944006,0.0042894531
2026-01-13,-19.2784648600,45.6657000000,103393.8107295407,-0.0001864219
2026-01-14,69.0564033600,134.6468000000,103462.8671329007,0.0006678969
2026-01-15,492.8678077600,552.4200000000,103955.7349406607,0.0047637169
2026-01-16,57.5871760000,112.8670000000,104013.3221166607,0.0005539586
2026-01-20,188.3107024200,258.5637000000,104201.6328190807,0.0018104479
2026-01-21,-59.9376104000,28.6950000000,104141.6952086807,-0.0005752080
2026-01-22,-548.8789560000,-502.5300000000,103592.8162526807,-0.0052705015
2026-01-23,-173.0466905000,-117.9625000000,103419.7695621807,-0.0016704507
2026-01-26,225.3304704000,271.3600000000,103645.1000325807,0.0021787949
2026-01-27,133.5829409400,193.6285000000,103778.6829735207,0.0012888496
2026-01-28,431.8853278000,496.9320000000,104210.5683013207,0.0041615996
2026-01-29,93.6527332400,177.0200000000,104304.2210345607,0.0008986875
2026-01-30,628.3246676400,711.2650000000,104932.5457022007,0.0060239620
2026-02-02,151.1892446400,211.4568000000,105083.7349468407,0.0014408232
2026-02-03,60.5374350800,144.0550000000,105144.2723819208,0.0005760876
2026-02-04,221.3200129000,305.1445000000,105365.5923948208,0.0021049174
2026-02-05,76.6264268800,155.0284000000,105442.2188217008,0.0007272434
2026-02-06,450.6406049400,534.3597000000,105892.8594266408,0.0042738156
2026-02-09,163.9731446400,219.1840000000,106056.8325712808,0.0015484816
2026-02-10,-157.9102128000,-106.8840000000,105898.9223584808,-0.0014889207
2026-02-11,652.1674131800,716.3405000000,106551.0897716608,0.0061583952
2026-02-12,-41.8886312000,55.4100000000,106509.2011404608,-0.0003931319
2026-02-13,261.8390590000,327.1150000000,106771.0401994608,0.0024583703
2026-02-17,-199.0138958000,-114.6310000000,106572.0263036608,-0.0018639314
2026-02-18,-112.2708890800,-56.7954000000,106459.7554145808,-0.0010534743
2026-02-19,429.8867826800,480.7924000000,106889.6421972609,0.0040380215
2026-02-20,318.5743278800,407.1450000000,107208.2165251409,0.0029804041
2026-02-23,46.1945836000,92.5920000000,107254.4111087409,0.0004308866
2026-02-24,-405.5234879000,-339.9017000000,106848.8876208409,-0.0037809493
2026-02-25,219.1789609600,270.3200000000,107068.0665818009,0.0020512985
2026-02-26,389.6789904000,464.7000000000,107457.7455722009,0.0036395445
2026-02-27,-566.9653716600,-487.5177000000,106890.7802005409,-0.0052761704
2026-03-02,51.7051230000,131.2550000000,106942.4853235409,0.0004837192
2026-03-03,498.8447420000,564.5160000000,107441.3300655409,0.0046646077
2026-03-04,-104.5726181600,-49.2308000000,107336.7574473809,-0.0009732997
2026-03-05,334.9541121000,418.6549000000,107671.7115594809,0.0031205909
2026-03-06,-334.7700575400,-274.2517000000,107336.9415019409,-0.0031091737
2026-03-09,-102.4948251600,-8.4954000000,107234.4466767809,-0.0009548886
2026-03-10,182.2071010000,237.0650000000,107416.6537777810,0.0016991471
2026-03-11,-29.4023613800,17.3731000000,107387.2514164010,-0.0002737226
2026-03-12,10.8223907600,57.5662000000,107398.0738071610,0.0001007791
2026-03-13,-135.8958435600,-66.2246000000,107262.1779636010,-0.0012653471
2026-03-16,450.9822247000,511.5235000000,107713.1601883010,0.0042044851
2026-03-17,5.5761160000,56.1600000000,107718.7363043010,0.0000517682
2026-03-18,142.6426597600,211.6050000000,107861.3789640610,0.0013242140
2026-03-19,-333.4222542000,-267.7298000000,107527.9567098610,-0.0030912108
2026-03-20,419.8006330800,498.4346000000,107947.7573429410,0.0039041069
2026-03-23,232.1521690000,301.5150000000,108179.9095119410,0.0021505974
2026-03-24,311.6960391200,390.6544000000,108491.6055510610,0.0028812747
2026-03-25,281.9482650400,332.5252000000,108773.5538161010,0.0025988026
2026-03-26,703.3375876000,787.0700000000,109476.8914037010,0.0064660716
2026-03-27,269.2696870000,339.5650000000,109746.1610907010,0.0024596030
2026-03-30,30.9423613600,105.9332000000,109777.1034520610,0.0002819448
2026-03-31,428.1273480000,535.9100000000,110205.2308000611,0.0038999694
2026-04-01,290.9422693200,379.8540000000,110496.1730693811,0.0026400042
2026-04-02,-122.5583381400,-61.5729000000,110373.6147312411,-0.0011091636
2026-04-06,-264.8572471200,-194.8776000000,110108.7574841211,-0.0023996428
2026-04-07,25.3662923400,90.8683000000,110134.1237764611,0.0002303749
2026-04-08,-32.9480076400,36.3470000000,110101.1757688211,-0.0002991626
2026-04-09,-164.7697678000,-99.5290000000,109936.4060010211,-0.0014965305
2026-04-10,204.3946857800,274.0505000000,110140.8006868011,0.0018592084
2026-04-13,-556.5725840000,-496.5000000000,109584.2281028011,-0.0050532825
2026-04-14,-321.3409038000,-252.1744000000,109262.8871990011,-0.0029323645
2026-04-15,161.1960751800,235.4729000000,109424.0832741811,0.0014753049
2026-04-16,305.9906260000,379.6900000000,109730.0739001811,0.0027963737
2026-04-17,191.4522229200,256.5234000000,109921.5261231011,0.0017447562
2026-04-20,-238.2389140000,-182.9100000000,109683.2872091012,-0.0021673545
2026-04-21,569.0473432600,647.4917000000,110252.3345523612,0.0051880953
2026-04-22,-445.7232270000,-372.0190000000,109806.6113253612,-0.0040427555
2026-04-23,-217.1082622600,-129.9353000000,109589.5030631012,-0.0019771875
2026-04-24,-99.5905310000,-30.5850000000,109489.9125321012,-0.0009087598
2026-04-27,-348.2756140000,-297.2600000000,109141.6369181012,-0.0031808922
2026-04-28,-67.9699987200,-3.5892000000,109073.6669193812,-0.0006227687
2026-04-29,-217.4969253200,-112.0800000000,108856.1699940612,-0.0019940370
2026-04-30,81.3199273200,191.9650000000,108937.4899213812,0.0007470401
2026-05-01,393.7325270000,467.8150000000,109331.2224483812,0.0036142978
2026-05-04,171.2700764400,249.7478000000,109502.4925248212,0.0015665248
2026-05-05,77.1479684000,141.5800000000,109579.6404932212,0.0007045316
2026-05-06,-18.0968988000,69.6500000000,109561.5435944213,-0.0001651484
2026-05-07,632.0162343600,746.8050000000,110193.5598287813,0.0057685956
2026-05-08,243.8907778000,335.4342000000,110437.4506065813,0.0022132943
2026-05-11,-393.1294346000,-296.8790000000,110044.3211719813,-0.0035597475
2026-05-12,-87.9091150400,8.2500000000,109956.4120569413,-0.0007988519
