variant,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,entry_reference,entry_price,exit_reference,exit_price,shares,requested_notional,allocated_notional,entry_notional,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
equal_allocation,AVGO,QQQ,2026-07-20 14:06:00-04:00,2026-07-20 14:07:00-04:00,2026-07-20 15:59:00-04:00,LONG,-2.7371635959,381.7500000000,381.8263500000,378.2100000000,378.1343580000,29,11111.1100000000,11111.1100000000,11072.9641500000,10.5000000000,5.0000000000,304.5000000000,145.0000000000,371.2500000000,386.7500000000,FORCED_EOD,112,-102.6600000000,4.4077680000,0.2030000000,4.6107680000,-107.2707680000
equal_allocation,TSLA,QQQ,2026-07-20 11:35:00-04:00,2026-07-20 11:36:00-04:00,2026-07-20 15:59:00-04:00,LONG,-2.6742952606,373.3400000000,373.4146680000,369.5900000000,369.5160820000,29,11111.1100000000,11111.1100000000,10829.0253720000,19.7500000000,7.0000000000,572.7500000000,203.0000000000,353.5900000000,380.3400000000,FORCED_EOD,263,-108.7500000000,4.3089940000,0.2030000000,4.5119940000,-113.2619940000
equal_allocation,GOOGL,QQQ,2026-07-21 10:30:00-04:00,2026-07-21 10:31:00-04:00,2026-07-21 10:41:00-04:00,LONG,-2.5363615339,349.3729000000,349.4427745800,348.1229000000,348.0532754200,31,11111.1100000000,11111.1100000000,10832.7260119800,1.2500000000,3.2500000000,38.7500000000,100.7500000000,348.1229000000,352.6229000000,STOP,10,-38.7500000000,4.3244739600,0.2170000000,4.5414739600,-43.2914739600
equal_allocation,AMZN,QQQ,2026-07-21 11:02:00-04:00,2026-07-21 11:03:00-04:00,2026-07-21 11:21:00-04:00,LONG,-2.5435993026,247.0550000000,247.1044110000,248.3050000000,248.2553390000,44,11111.1100000000,11111.1100000000,10872.5940840000,2.0000000000,1.2500000000,88.0000000000,55.0000000000,245.0550000000,248.3050000000,TAKE_PROFIT_BRACKET,18,55.0000000000,4.3591680000,0.3080000000,4.6671680000,50.3328320000
equal_allocation,AMD,QQQ,2026-07-21 12:25:00-04:00,2026-07-21 12:26:00-04:00,2026-07-21 12:38:00-04:00,SHORT,2.5990731542,537.8100000000,537.7024380000,539.5600000000,539.6679120000,20,11111.1100000000,11111.1100000000,10754.0487600000,1.7500000000,4.0000000000,35.0000000000,80.0000000000,539.5600000000,533.8100000000,STOP,12,-35.0000000000,4.3094800000,0.1400000000,4.4494800000,-39.4494800000
equal_allocation,META,QQQ,2026-07-21 12:56:00-04:00,2026-07-21 12:57:00-04:00,2026-07-21 13:04:00-04:00,SHORT,2.5927782400,649.9900000000,649.8600020000,647.2400000000,647.3694480000,17,11111.1100000000,11111.1100000000,11047.6200340000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,657.9900000000,647.2400000000,TAKE_PROFIT_BRACKET,7,46.7500000000,4.4105820000,0.1190000000,4.5295820000,42.2204180000
equal_allocation,AMZN,QQQ,2026-07-21 12:16:00-04:00,2026-07-21 12:17:00-04:00,2026-07-21 13:24:00-04:00,LONG,-2.5326920029,247.3600000000,247.4094720000,248.6100000000,248.5602780000,44,11111.1100000000,11111.1100000000,10886.0167680000,2.0000000000,1.2500000000,88.0000000000,55.0000000000,245.3600000000,248.6100000000,TAKE_PROFIT_BRACKET,67,55.0000000000,4.3645360000,0.3080000000,4.6725360000,50.3274640000
equal_allocation,META,QQQ,2026-07-21 13:05:00-04:00,2026-07-21 13:06:00-04:00,2026-07-21 13:40:00-04:00,LONG,-2.9766380805,645.7000000000,645.8291400000,648.4500000000,648.3203100000,17,11111.1100000000,11111.1100000000,10979.0953800000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,637.7000000000,648.4500000000,TAKE_PROFIT_BRACKET,34,46.7500000000,4.4001100000,0.1190000000,4.5191100000,42.2308900000
equal_allocation,NVDA,QQQ,2026-07-21 12:20:00-04:00,2026-07-21 12:21:00-04:00,2026-07-21 13:42:00-04:00,LONG,-2.5637208482,205.7000000000,205.7411400000,206.9500000000,206.9086100000,54,11111.1100000000,11111.1100000000,11110.0215600000,5.2500000000,1.2500000000,283.5000000000,67.5000000000,200.4500000000,206.9500000000,TAKE_PROFIT_BRACKET,81,67.5000000000,4.4566200000,0.3780000000,4.8346200000,62.6653800000
equal_allocation,AMD,QQQ,2026-07-21 14:46:00-04:00,2026-07-21 14:47:00-04:00,2026-07-21 15:01:00-04:00,SHORT,2.6223766103,546.5750000000,546.4656850000,542.5750000000,542.6835150000,20,11111.1100000000,11111.1100000000,10929.3137000000,1.7500000000,4.0000000000,35.0000000000,80.0000000000,548.3250000000,542.5750000000,TAKE_PROFIT_BRACKET,14,80.0000000000,4.3566000000,0.1400000000,4.4966000000,75.5034000000
