beta_mode,beta_days,window,z_entry,hook_delta,hook_timeout,exit_band,z_lockout,direction,trades,net_pnl,gross_pnl,costs,net_return_pct,gross_return_pct,net_sharpe,gross_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,gross_profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl
fixed_1.75,10,120,3.0,0.0,0,0.0,,both,194,2391.682375880176,4145.601000000015,1753.918624119839,2.391682375880176,4.145601000000015,1.048457884975787,1.7995670446688397,1.734203320310467,1.9956310345998935,52.0618556701031,1.2441949981129239,1.460188181576432,12.328259669485444,9.781312000000845,54.05154639175258,3723.852444460096,-1332.170068579919
dynamic_rolling,20,120,3.0,0.05,5,0.0,,both,173,1942.5960367601488,3504.202800000003,1561.6067632398544,1.9425960367601487,3.504202800000003,0.9829668109610136,1.7565624074520756,1.5661602316602035,1.7680223092999077,59.53757225433526,1.2664078982631428,1.5244676960964636,11.228878825203171,14.038847999999046,56.809248554913296,848.16390558006,1094.4321311800886
dynamic_rolling,20,120,3.0,0.05,10,0.0,,both,173,1942.5960367601488,3504.202800000003,1561.6067632398544,1.9425960367601487,3.504202800000003,0.9829668109610136,1.7565624074520756,1.5661602316602035,1.7680223092999077,59.53757225433526,1.2664078982631428,1.5244676960964636,11.228878825203171,14.038847999999046,56.809248554913296,848.16390558006,1094.4321311800886
dynamic_rolling,20,120,3.0,0.05,20,0.0,,both,173,1942.5960367601488,3504.202800000003,1561.6067632398544,1.9425960367601487,3.504202800000003,0.9829668109610136,1.7565624074520756,1.5661602316602035,1.7680223092999077,59.53757225433526,1.2664078982631428,1.5244676960964636,11.228878825203171,14.038847999999046,56.809248554913296,848.16390558006,1094.4321311800886
dynamic_rolling,30,60,3.0,0.05,5,0.0,,both,311,1846.8702438401715,4653.414999999956,2806.544756159785,1.8468702438401714,4.653414999999956,0.9663269252596566,2.4129602658483638,1.5824994805207344,1.7106237755999902,53.69774919614147,1.1780532245090851,1.5104355846277333,5.938489530032705,7.623671999998985,34.07717041800643,1996.816917860109,-149.94667401993678
dynamic_rolling,30,60,3.0,0.05,10,0.0,,both,311,1846.8702438401715,4653.414999999956,2806.544756159785,1.8468702438401714,4.653414999999956,0.9663269252596566,2.4129602658483638,1.5824994805207344,1.7106237755999902,53.69774919614147,1.1780532245090851,1.5104355846277333,5.938489530032705,7.623671999998985,34.07717041800643,1996.816917860109,-149.94667401993678
dynamic_rolling,30,60,3.0,0.05,20,0.0,,both,311,1846.8702438401715,4653.414999999956,2806.544756159785,1.8468702438401714,4.653414999999956,0.9663269252596566,2.4129602658483638,1.5824994805207344,1.7106237755999902,53.69774919614147,1.1780532245090851,1.5104355846277333,5.938489530032705,7.623671999998985,34.07717041800643,1996.816917860109,-149.94667401993678
dynamic_rolling,20,60,3.0,0.05,5,0.0,,both,321,1617.7318475601921,4511.541399999947,2893.809552439755,1.6177318475601923,4.511541399999947,0.954737193000671,2.6295073489218623,1.3482091313400957,2.090374124419992,54.82866043613706,1.1553319412736116,1.4921530105213667,5.039663076511502,7.623671999998985,32.33644859813084,1219.225306940137,398.506540620055
dynamic_rolling,20,60,3.0,0.05,10,0.0,,both,321,1617.7318475601921,4511.541399999947,2893.809552439755,1.6177318475601923,4.511541399999947,0.954737193000671,2.6295073489218623,1.3482091313400957,2.090374124419992,54.82866043613706,1.1553319412736116,1.4921530105213667,5.039663076511502,7.623671999998985,32.33644859813084,1219.225306940137,398.506540620055
dynamic_rolling,20,60,3.0,0.05,20,0.0,,both,321,1617.7318475601921,4511.541399999947,2893.809552439755,1.6177318475601923,4.511541399999947,0.954737193000671,2.6295073489218623,1.3482091313400957,2.090374124419992,54.82866043613706,1.1553319412736116,1.4921530105213667,5.039663076511502,7.623671999998985,32.33644859813084,1219.225306940137,398.506540620055
