entry_time,exit_time,direction,entry_price,exit_price,shares,entry_z,exit_z,duration_bars,gross_pnl,costs,net_pnl,exit_reason
2025-07-17 12:27:00-04:00,2025-07-17 12:33:00-04:00,SHORT,173.980197,173.48969100000002,114,2.981687101305822,0.05958760057697941,6,63.83999999999702,8.720315999999057,55.11968399999796,TAKE_PROFIT
2025-07-17 13:53:00-04:00,2025-07-17 14:34:00-04:00,LONG,173.219637,173.355322,115,-2.8462453086404045,0.20499461266479804,41,23.57499999999817,8.776224999998725,14.798774999999445,TAKE_PROFIT
2025-07-17 14:48:00-04:00,2025-07-17 15:08:00-04:00,SHORT,173.620269,173.439681,115,2.9393542435334097,-0.5085665689945842,20,28.75,8.787379999999978,19.962620000000022,TAKE_PROFIT
2025-07-18 10:18:00-04:00,2025-07-18 11:20:00-04:00,LONG,172.30435398,172.095574,116,-3.149052881068152,0.1155653761824084,62,-16.22840000000133,8.80207767999899,-25.030477680000317,TAKE_PROFIT
2025-07-18 15:02:00-04:00,2025-07-18 15:22:00-04:00,LONG,172.07440799999998,172.18725566,116,-1.9937405920009021,-0.05624191540196994,20,21.077200000000744,8.798871439997457,12.278328560003287,TAKE_PROFIT
2025-07-21 12:24:00-04:00,2025-07-21 12:42:00-04:00,LONG,171.64432200000002,172.21555,116,-2.879989474790013,0.13629491553380227,18,74.23999999999842,8.78955199999949,65.45044799999893,TAKE_PROFIT
2025-07-21 15:49:00-04:00,2025-07-21 15:56:00-04:00,LONG,171.67952903999998,171.370719,116,-2.4507207232134585,-2.8931509858851476,7,-27.86319999999853,8.770764639997866,-36.63396463999639,TAKE_PROFIT
2025-07-22 14:19:00-04:00,2025-07-22 14:37:00-04:00,LONG,167.738541,168.096374,119,-1.9721601940040978,0.15117872321134526,18,50.57499999999797,8.825872999998042,41.74912699999993,TAKE_PROFIT
2025-07-22 15:48:00-04:00,2025-07-22 15:56:00-04:00,LONG,167.638521,167.1755582,119,-2.253586077682982,-3.004038282625997,8,-47.123999999998404,8.801573199999867,-55.92557319999827,TAKE_PROFIT
2025-07-23 13:41:00-04:00,2025-07-23 13:52:00-04:00,LONG,169.148823,169.146164,118,-2.312013432702227,0.0765015385320724,11,7.669999999999732,8.809761999999047,-1.1397619999993154,TAKE_PROFIT
2025-07-24 12:14:00-04:00,2025-07-24 13:05:00-04:00,SHORT,172.84122484,173.249643,115,2.3904505773124374,-1.1955592222051155,51,-39.00800000000061,8.765088399998994,-47.7730883999996,TAKE_PROFIT
2025-07-25 12:15:00-04:00,2025-07-25 13:05:00-04:00,LONG,174.37986899999999,174.13556592,114,-2.8048598056950493,-0.12127197344664954,50,-19.904399999999782,8.744151119997978,-28.648551119997762,TAKE_PROFIT
2025-07-30 13:37:00-04:00,2025-07-30 13:52:00-04:00,LONG,178.975788,178.94420399999998,111,-2.8666393289096894,0.33880816133485464,15,4.439999999999117,8.722824000000157,-4.282824000001041,TAKE_PROFIT
2025-08-01 12:58:00-04:00,2025-08-01 13:24:00-04:00,SHORT,174.435106,173.504694,114,2.6802370195079783,0.3436027162966415,26,114.0,8.731032000001163,105.26896799999884,TAKE_PROFIT
2025-08-04 13:47:00-04:00,2025-08-04 14:35:00-04:00,SHORT,178.98919500000002,179.340861,111,2.898562916305528,-0.014995737466769627,48,-31.080000000000126,8.731925999996106,-39.811925999996234,TAKE_PROFIT
2025-08-05 12:05:00-04:00,2025-08-05 12:48:00-04:00,SHORT,177.604472,177.125418,112,2.6431948788856006,-0.252183632323211,43,61.59999999999809,8.729951999999125,52.87004799999897,TAKE_PROFIT
2025-08-06 15:26:00-04:00,2025-08-06 15:56:00-04:00,SHORT,179.654062,179.43588,111,2.3279982511486543,0.15053431818158142,30,32.18999999999912,8.748797999997675,23.44120200000144,TAKE_PROFIT
2025-08-07 15:25:00-04:00,2025-08-07 15:56:00-04:00,LONG,179.455884,180.218949,111,-2.90766404408193,0.15047577182377464,31,92.68500000000088,8.76178499999959,83.92321500000129,TAKE_PROFIT
2025-08-08 12:36:00-04:00,2025-08-08 13:36:00-04:00,LONG,182.621517,182.093574,109,-3.08245078373092,0.0244363842890364,60,-49.59500000000136,8.713787000001014,-58.308787000002376,TAKE_PROFIT
2025-08-11 15:31:00-04:00,2025-08-11 15:41:00-04:00,LONG,182.121417,182.52338802,109,-3.183349000619389,0.8356664752840163,10,51.76409999999902,8.71225882000004,43.05184117999898,TAKE_PROFIT
2025-08-12 13:58:00-04:00,2025-08-12 14:53:00-04:00,SHORT,182.7689389,182.966586,109,2.3238835959192334,-0.3428711996031057,55,-13.570500000001289,8.73603389999999,-22.306533900001277,TAKE_PROFIT
2025-08-14 11:29:00-04:00,2025-08-14 11:47:00-04:00,LONG,181.2287385,181.73364600000002,110,-2.8235616138310324,0.0922798700062861,18,63.525000000001626,8.75517499999832,54.76982500000331,TAKE_PROFIT
2025-08-26 13:39:00-04:00,2025-08-26 13:52:00-04:00,SHORT,181.533686,181.2582444,110,2.821145580106535,0.1791946785641294,13,38.279999999998324,8.751423999999037,29.528575999999287,TAKE_PROFIT
2025-08-27 12:29:00-04:00,2025-08-27 12:41:00-04:00,LONG,181.326258,181.703652,110,-2.681152212436716,0.2770242415560254,12,49.500000000001876,8.756660000000824,40.743340000001055,TAKE_PROFIT
2025-08-27 15:18:00-04:00,2025-08-27 15:30:00-04:00,LONG,181.17132701999998,181.628667,110,-2.560518487346085,-0.7347989863654454,12,58.28899999999976,8.751602199996587,49.53739780000318,TAKE_PROFIT
2025-08-28 14:26:00-04:00,2025-08-28 15:09:00-04:00,SHORT,180.64736330000002,180.84806238000002,110,3.0133032356461396,0.18547167074661094,43,-14.12399999999991,8.722898799999275,-22.846898799999185,TAKE_PROFIT
2025-08-29 13:07:00-04:00,2025-08-29 13:44:00-04:00,LONG,173.889771,173.880217,115,-2.3909463146967167,0.5334426803697248,37,6.9000000000002615,8.803710000001239,-1.9037100000009772,TAKE_PROFIT
2025-09-09 14:15:00-04:00,2025-09-09 15:56:00-04:00,SHORT,168.40131300000002,170.759145,118,2.6282493713935247,1.307843376316891,101,-270.21999999999906,8.830175999997813,-279.0501759999969,TAKE_PROFIT
2025-09-10 11:46:00-04:00,2025-09-10 12:23:00-04:00,LONG,178.13562,177.504492,112,-2.0619535077224294,0.09608445028470594,37,-62.720000000000255,8.750335999998592,-71.47033599999885,TAKE_PROFIT
2025-09-11 13:47:00-04:00,2025-09-11 14:07:00-04:00,LONG,176.775348,177.104572,113,-2.6722550674912737,0.4393864747675923,20,45.19999999999743,8.788687999999443,36.41131199999799,TAKE_PROFIT
2025-09-11 15:14:00-04:00,2025-09-11 15:55:00-04:00,LONG,177.130419,177.219549,112,-2.7006472347961785,0.6506094066103378,41,17.919999999999618,8.721439999998333,9.198560000001285,TAKE_PROFIT
2025-09-15 11:19:00-04:00,2025-09-15 12:11:00-04:00,SHORT,176.00989098,177.120417,113,2.7888731965787326,0.1305325647144648,52,-117.50870000000194,8.771740259999067,-126.280440260001,TAKE_PROFIT
2025-09-16 12:00:00-04:00,2025-09-16 12:51:00-04:00,LONG,175.350063,175.169959,114,-2.9672494902624167,-0.17203511787382375,51,-12.539999999998315,8.78985600000169,-21.329856000000007,TAKE_PROFIT
2025-09-17 14:16:00-04:00,2025-09-17 15:01:00-04:00,LONG,169.223838,169.91601,118,-2.3239015468482096,0.8531598553027564,45,89.67999999999893,8.829703999999005,80.85029599999993,TAKE_PROFIT
2025-09-23 13:43:00-04:00,2025-09-23 14:27:00-04:00,SHORT,177.66446,177.99559200000002,112,2.335249115743293,0.05234607319471735,44,-29.120000000002165,8.750784000000644,-37.87078400000281,TAKE_PROFIT
2025-09-24 11:16:00-04:00,2025-09-24 11:23:00-04:00,SHORT,178.20965094,178.37006688,112,2.268118443224129,-0.2561657942506951,7,-9.979200000000219,8.771385280000581,-18.7505852800008,TAKE_PROFIT
2025-09-24 12:02:00-04:00,2025-09-24 12:28:00-04:00,SHORT,176.284736,176.445282,113,2.831602572086397,-0.33960164924900893,26,-10.170000000000385,8.762697999997616,-18.932697999998002,TAKE_PROFIT
2025-09-25 14:04:00-04:00,2025-09-25 14:13:00-04:00,SHORT,175.599873,176.38737042,113,2.6730230991113455,-0.2640932842906708,9,-81.03230000000184,8.745908459997484,-89.77820845999932,TAKE_PROFIT
2025-09-29 11:18:00-04:00,2025-09-29 12:10:00-04:00,SHORT,182.593474,181.81635599999998,109,2.946240685019399,-1.6643473683257872,52,92.64999999999938,8.707137999999214,83.94286200000016,TAKE_PROFIT
2025-10-01 10:35:00-04:00,2025-10-01 11:19:00-04:00,SHORT,187.14256400000002,186.892371,106,3.0783187233029405,0.07381781083407582,44,34.45000000000181,8.671541999999231,25.778458000002576,TAKE_PROFIT
2025-10-01 15:31:00-04:00,2025-10-01 15:54:00-04:00,LONG,187.212435,187.26254,106,-2.9933006233344397,0.5744845318440891,23,13.25,8.680869999999782,4.569130000000218,TAKE_PROFIT
2025-10-02 14:01:00-04:00,2025-10-02 14:11:00-04:00,LONG,188.872767,189.08027638000002,105,-2.494169346338894,0.41588709587448497,10,29.725499999998988,8.67201509999849,21.053484900000498,TAKE_PROFIT
2025-10-03 12:43:00-04:00,2025-10-03 14:13:00-04:00,LONG,187.897572,186.71265,106,-2.607015383076814,0.157154003138233,90,-117.66000000000145,8.683731999998582,-126.34373200000003,TAKE_PROFIT
2025-10-09 14:30:00-04:00,2025-10-09 15:05:00-04:00,LONG,192.578508,192.75764076000002,103,-2.7906478770464394,0.32347209381653197,35,26.388600000000707,8.658925719999072,17.729674280001635,TAKE_PROFIT
