date,daily_net_pnl,daily_gross_pnl,equity,daily_return
2025-12-30,-5.2883535000,78.4745000000,104254.9361997611,-0.0000507226
2025-12-31,-582.5950052000,-515.4660000000,103672.3411945611,-0.0055881767
2026-01-02,363.8684261800,498.5981000000,104036.2096207411,0.0035097927
2026-01-05,-108.7691880000,25.4300000000,103927.4404327411,-0.0010454936
2026-01-06,346.8192494400,447.3600000000,104274.2596821811,0.0033371288
2026-01-07,375.0959361400,501.2983000000,104649.3556183211,0.0035972055
2026-01-08,80.1789796000,189.1060000000,104729.5345979211,0.0007661679
2026-01-09,672.4459090000,773.5750000000,105401.9805069212,0.0064207858
2026-01-12,799.8917762200,925.1727000000,106201.8722831412,0.0075889634
2026-01-13,-32.4160122800,85.2886000000,106169.4562708612,-0.0003052301
2026-01-14,115.1977588200,233.6851000000,106284.6540296812,0.0010850367
2026-01-15,897.9826774800,1006.7150000000,107182.6367071612,0.0084488460
2026-01-16,97.6741936000,198.1540000000,107280.3109007612,0.0009112875
2026-01-20,343.5041063200,470.4126000000,107623.8150070812,0.0032019306
2026-01-21,-103.3248851200,56.9750000000,107520.4901219613,-0.0009600560
2026-01-22,-995.5661550000,-911.3950000000,106524.9239669613,-0.0092593156
2026-01-23,-312.6556940000,-212.1600000000,106212.2682729613,-0.0029350473
2026-01-26,408.6670276000,491.8800000000,106620.9353005613,0.0038476443
2026-01-27,244.6794769000,353.3355000000,106865.6147774613,0.0022948540
2026-01-28,787.5959842400,905.7600000000,107653.2107617013,0.0073699663
2026-01-29,165.4653952400,316.3150000000,107818.6761569413,0.0015370224
2026-01-30,1138.4177328400,1288.3550000000,108957.0938897813,0.0105586321
2026-02-02,272.8986345600,382.4092000000,109229.9925243414,0.0025046431
2026-02-03,116.6130214400,268.0300000000,109346.6055457814,0.0010675916
2026-02-04,401.2993240200,553.3201000000,109747.9048698014,0.0036699751
2026-02-05,145.5778110200,287.7671000000,109893.4826808214,0.0013264746
2026-02-06,817.4242091400,969.6331000000,110710.9068899614,0.0074383320
2026-02-09,297.7105315600,397.7428000000,111008.6174215214,0.0026890804
2026-02-10,-284.9080314600,-192.6373000000,110723.7093900615,-0.0025665398
2026-02-11,1201.4830841600,1318.2658000000,111925.1924742215,0.0108511817
2026-02-12,-81.4043890000,94.8700000000,111843.7880852215,-0.0007273107
2026-02-13,479.4645128000,597.6300000000,112323.2525980215,0.0042869123
2026-02-17,-359.5240148400,-206.6158000000,111963.7285831815,-0.0032007978
2026-02-18,-200.9295969600,-100.1748000000,111762.7989862215,-0.0017945954
2026-02-19,771.8006886400,863.7902000000,112534.5996748615,0.0069057029
2026-02-20,580.9591322000,741.6450000000,113115.5588070616,0.0051624934
2026-02-23,79.6843202000,163.8390000000,113195.2431272616,0.0007044506
2026-02-24,-738.1930302000,-619.4368000000,112457.0500970616,-0.0065214139
2026-02-25,390.9814187600,483.3350000000,112848.0315158216,0.0034767177
2026-02-26,706.4688495000,842.8125000000,113554.5003653216,0.0062603560
2026-02-27,-1024.6440688200,-881.4549000000,112529.8562965016,-0.0090233682
2026-03-02,93.9051716000,237.8120000000,112623.7614681017,0.0008344912
2026-03-03,910.9886962000,1029.4790000000,113534.7501643017,0.0080887788
2026-03-04,-187.2459429200,-86.7346000000,113347.5042213817,-0.0016492390
2026-03-05,614.4821486000,766.6036000000,113961.9863699817,0.0054212235
2026-03-06,-602.7510628000,-493.8000000000,113359.2353071817,-0.0052890537
2026-03-09,-172.4202577600,-2.1498000000,113186.8150494217,-0.0015210076
2026-03-10,329.8454730000,429.6450000000,113516.6605224217,0.0029141687
2026-03-11,-52.1852221200,31.9294000000,113464.4753003017,-0.0004597142
2026-03-12,20.2018669000,104.7755000000,113484.6771672017,0.0001780457
2026-03-13,-264.2153640800,-138.0700000000,113220.4618031218,-0.0023282030
2026-03-16,813.2923412800,923.0764000000,114033.7541444018,0.0071832629
2026-03-17,14.2024408000,106.9760000000,114047.9565852018,0.0001245459
2026-03-18,260.6817049600,386.8400000000,114308.6382901618,0.0022857201
2026-03-19,-601.0816874800,-482.4722000000,113707.5566026818,-0.0052584100
2026-03-20,770.8092119600,913.6602000000,114478.3658146418,0.0067788741
2026-03-23,420.9488960000,546.9300000000,114899.3147106418,0.0036771043
2026-03-24,566.5399650400,709.7918000000,115465.8546756818,0.0049307515
2026-03-25,512.0057237200,604.0586000000,115977.8603994018,0.0044342609
2026-03-26,1274.1001480000,1425.4600000000,117251.9605474018,0.0109857187
2026-03-27,482.0486650000,608.4550000000,117734.0092124019,0.0041112205
2026-03-30,57.5308630600,193.6647000000,117791.5400754619,0.0004886512
2026-03-31,780.7566370000,975.9150000000,118572.2967124619,0.0066282913
2026-04-01,516.4457075600,677.4512000000,119088.7424200219,0.0043555343
2026-04-02,-222.8181112200,-112.4855000000,118865.9243088019,-0.0018710258
2026-04-06,-487.0723731200,-360.5776000000,118378.8519356820,-0.0040976619
2026-04-07,40.9687998000,159.8710000000,118419.8207354820,0.0003460821
2026-04-08,-42.3649147600,83.0800000000,118377.4558207220,-0.0003577519
2026-04-09,-296.2379343000,-178.0915000000,118081.2178864220,-0.0025024861
2026-04-10,366.8102081800,493.0619000000,118448.0280946020,0.0031064230
2026-04-13,-1011.4338900000,-902.2600000000,117436.5942046020,-0.0085390522
2026-04-14,-591.5211482800,-465.7254000000,116845.0730563220,-0.0050369406
2026-04-15,292.5259031200,426.3556000000,117137.5989594420,0.0025035365
2026-04-16,563.5916280000,697.4900000000,117701.1905874420,0.0048113640
2026-04-17,350.0598627800,467.7821000000,118051.2504502221,0.0029741404
2026-04-20,-431.4945950000,-330.8450000000,117619.7558552221,-0.0036551463
2026-04-21,1030.6354365600,1172.6412000000,118650.3912917821,0.0087624348
2026-04-22,-820.9830449600,-687.1662000000,117829.4082468221,-0.0069193454
2026-04-23,-390.0979542800,-231.5656000000,117439.3102925421,-0.0033107011
2026-04-24,-179.7207075000,-54.6775000000,117259.5895850422,-0.0015303284
2026-04-27,-626.9177000000,-534.6100000000,116632.6718850422,-0.0053464088
2026-04-28,-119.6224877600,-2.8394000000,116513.0493972822,-0.0010256345
2026-04-29,-392.0653739200,-200.5450000000,116120.9840233622,-0.0033649911
2026-04-30,130.2326986400,330.5500000000,116251.2167220022,0.0011215260
2026-05-01,705.2695060000,838.8700000000,116956.4862280022,0.0060667710
2026-05-04,305.2306330000,447.2250000000,117261.7168610022,0.0026097794
2026-05-05,135.0682344000,251.3200000000,117396.7850954022,0.0011518528
2026-05-06,-38.4803741200,120.7750000000,117358.3047212823,-0.0003277805
2026-05-07,1145.6111004000,1353.2550000000,118503.9158216823,0.0097616535
2026-05-08,449.8962884800,615.7108000000,118953.8121101623,0.0037964677
2026-05-11,-708.6244109000,-534.1205000000,118245.1876992623,-0.0059571391
2026-05-12,-157.1657206800,17.3850000000,118088.0219785823,-0.0013291511
2026-05-13,-876.9602877000,-752.6815000000,117211.0616908823,-0.0074263272
2026-05-14,-691.2782962400,-583.7100000000,116519.7833946423,-0.0058977223
2026-05-15,592.7437110000,733.9950000000,117112.5271056424,0.0050870650
2026-05-18,-142.3584880000,32.0880000000,116970.1686176424,-0.0012155701
2026-05-19,-738.4553084000,-563.6800000000,116231.7133092424,-0.0063131935
2026-05-20,-905.9795873600,-789.4600000000,115325.7337218824,-0.0077945989
2026-05-21,-411.2586200000,-270.1000000000,114914.4751018824,-0.0035660612
2026-05-22,139.6762448000,289.3502000000,115054.1513466825,0.0012154800
2026-05-26,-107.9969710000,24.5650000000,114946.1543756825,-0.0009386621
2026-05-27,-479.6460216400,-338.5636000000,114466.5083540425,-0.0041727888
2026-05-28,365.9315407600,473.7400000000,114832.4398948025,0.0031968437
2026-05-29,447.6392292400,654.6650000000,115280.0791240425,0.0038981949
2026-06-01,306.4373247600,439.4292000000,115586.5164488025,0.0026581984
2026-06-02,-1919.0522460400,-1711.5250000000,113667.4642027625,-0.0166027345
2026-06-03,543.7346432000,701.2780000000,114211.1988459626,0.0047835557
2026-06-04,-376.0380197200,-227.9714000000,113835.1608262426,-0.0032924794
2026-06-05,234.9355225600,450.1800000000,114070.0963488026,0.0020638221
2026-06-08,91.8610692000,274.8500000000,114161.9574180026,0.0008053037
2026-06-09,-2650.0238403600,-2409.5400000000,111511.9335776426,-0.0232128452
2026-06-10,131.5979854200,281.7959000000,111643.5315630626,0.0011801247
2026-06-11,-390.6485250000,-181.7950000000,111252.8830380627,-0.0034990699
2026-06-12,398.3019808000,555.7950000000,111651.1850188627,0.0035801497
2026-06-15,912.2470370000,1045.1600000000,112563.4320558627,0.0081705092
2026-06-16,-370.8424332400,-188.5750000000,112192.5896226227,-0.0032945196
2026-06-17,521.7018308200,712.8849000000,112714.2914534427,0.0046500561
2026-06-18,381.1724740800,564.1128000000,113095.4639275228,0.0033817582
2026-06-22,294.4829793600,435.7100000000,113389.9469068828,0.0026038443
2026-06-23,-667.8934980000,-551.3270000000,112722.0534088828,-0.0058902356
2026-06-24,-665.7959886800,-499.2644000000,112056.2574202028,-0.0059065282
2026-06-25,246.6164477200,471.4586000000,112302.8738679228,0.0022008271
2026-06-26,-335.4095980000,-118.0800000000,111967.4642699228,-0.0029866520
2026-06-29,-1350.6702114200,-1193.4697000000,110616.7940585029,-0.0120630597
2026-06-30,230.1649670000,404.1550000000,110846.9590255029,0.0020807416
2026-07-01,352.8050140000,452.2950000000,111199.7640395029,0.0031828118
2026-07-02,-342.9422370800,-175.8748000000,110856.8218024229,-0.0030840195
2026-07-06,-812.9128508000,-662.8500000000,110043.9089516229,-0.0073329980
2026-07-07,-923.2583320000,-798.0200000000,109120.6506196229,-0.0083899085
2026-07-08,-545.6781512400,-370.2998000000,108574.9724683830,-0.0050006864
2026-07-09,-2105.5652330800,-1939.1554000000,106469.4072353030,-0.0193927310
2026-07-10,-798.5482356400,-674.3292000000,105670.8589996630,-0.0075002600
2026-07-13,-141.3610850000,7.9214000000,105529.4979146630,-0.0013377490
2026-07-14,-321.0134864800,-179.8600000000,105208.4844281830,-0.0030419313
2026-07-15,-604.2869196400,-446.7618000000,104604.1975085430,-0.0057437090
2026-07-16,-117.6915634000,90.3200000000,104486.5059451430,-0.0011251132
2026-07-17,547.9148362000,756.2170000000,105034.4207813431,0.0052438813
2026-07-20,-1292.8175799600,-1126.7400000000,103741.6032013831,-0.0123085134
2026-07-21,356.9037108800,497.9050000000,104098.5069122631,0.0034403142
2026-07-22,-1470.3224072600,-1288.1887000000,102628.1845050031,-0.0141243371
2026-07-23,282.6451852800,423.4464000000,102910.8296902831,0.0027540698
2026-07-24,350.9306907600,500.8690000000,103261.7603810431,0.0034100463
2026-07-27,438.8869840000,580.4700000000,103700.6473650431,0.0042502373
2026-07-28,757.0824736000,939.8530000000,104457.7298386432,0.0073006533
2026-07-29,-567.6074017600,-367.7900000000,103890.1224368832,-0.0054338478
2026-07-30,-10.2773105200,130.7300000000,103879.8451263632,-0.0000989248
2026-07-31,-1590.8407568800,-1440.7650000000,102289.0043694832,-0.0153142388
2026-08-03,725.6646345400,875.7941000000,103014.6690040232,0.0070942585
2026-08-04,121.6754044800,280.0376000000,103136.3444085033,0.0011811464
2026-08-05,77.5238259800,268.1085000000,103213.8682344833,0.0007516635
2026-08-06,133.6863122000,241.3890000000,103347.5545466833,0.0012952359
2026-08-07,381.6510489000,489.9611000000,103729.2055955833,0.0036928890
2026-08-10,-380.6195540000,-221.4800000000,103348.5860415833,-0.0036693576
2026-08-11,2.7257480000,168.5000000000,103351.3117895834,0.0000263743
2026-08-12,511.1491670000,627.7940000000,103862.4609565834,0.0049457444
2026-08-13,-233.4048377800,-75.9541000000,103629.0561188034,-0.0022472493
2026-08-14,511.1728366000,677.4550000000,104140.2289554034,0.0049327173
2026-08-17,53.5648375200,177.3960000000,104193.7937929234,0.0005143530
2026-08-18,-361.0007947200,-252.9342000000,103832.7929982034,-0.0034647053
2026-08-19,-226.3370916000,-92.5900000000,103606.4559066034,-0.0021798228
2026-08-20,951.4715403200,1076.9686000000,104557.9274469235,0.0091835159
2026-08-21,-610.2791040000,-501.7800000000,103947.6483429235,-0.0058367559
