symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
AAPL,QQQ,2025-10-23 11:43:00-04:00,2025-10-23 11:44:00-04:00,2025-10-23 15:59:00-04:00,SHORT,3.2949905237,259.4700000000,259.0365419278,608.0200000000,607.7710391301,259.3057154847,259.4500000000,259.3981100000,259.5800000000,259.6319160000,77,19973.6544700000,3.0000000000,7.5000000000,231.0000000000,577.5000000000,2.5000000000,262.4500000000,251.9500000000,FORCED_EOD,255,-10.0100000000,7.9930620000,0.5390000000,8.5320620000,-18.5420620000
AAPL,QQQ,2025-10-24 10:26:00-04:00,2025-10-24 10:27:00-04:00,2025-10-24 14:25:00-04:00,SHORT,2.6239779966,261.1500000000,260.2979716843,616.6800000000,616.8865603211,260.1145913091,261.1100000000,261.0577780000,264.1100000000,264.1628220000,76,19840.3911280000,3.0000000000,7.5000000000,228.0000000000,570.0000000000,2.5000000000,264.1100000000,253.6100000000,STOP,238,-228.0000000000,7.9833440000,0.5320000000,8.5153440000,-236.5153440000
AAPL,QQQ,2025-10-24 14:25:00-04:00,2025-10-24 14:26:00-04:00,2025-10-24 15:59:00-04:00,SHORT,2.7179541960,264.0700000000,262.2078100624,617.9000000000,617.1754379594,262.8554789706,264.0700000000,264.0171860000,262.7700000000,262.8225540000,75,19801.2889500000,3.0000000000,7.5000000000,225.0000000000,562.5000000000,2.5000000000,267.0700000000,256.5700000000,FORCED_EOD,93,97.5000000000,7.9026000000,0.5250000000,8.4276000000,89.0724000000
AAPL,QQQ,2025-10-27 10:29:00-04:00,2025-10-27 10:30:00-04:00,2025-10-27 15:59:00-04:00,LONG,-2.7255762784,265.7300000000,265.9913862170,625.7950000000,625.1320296374,266.5178777775,265.7400000000,265.7931480000,268.7400000000,268.6862520000,75,19934.4861000000,3.0000000000,7.5000000000,225.0000000000,562.5000000000,2.5000000000,262.7400000000,273.2400000000,FORCED_EOD,329,225.0000000000,8.0172000000,0.5250000000,8.5422000000,216.4578000000
AAPL,QQQ,2025-10-28 10:46:00-04:00,2025-10-28 10:47:00-04:00,2025-10-28 15:59:00-04:00,SHORT,2.5339963483,268.7505000000,268.8773668893,629.4400000000,630.4531150339,268.3067749035,268.7518000000,268.6980496400,269.0300000000,269.0838060000,74,19883.6556733600,3.0000000000,7.5000000000,222.0000000000,555.0000000000,2.5000000000,271.7518000000,261.2518000000,FORCED_EOD,312,-20.5868000000,7.9591706400,0.5180000000,8.4771706400,-29.0639706400
AAPL,QQQ,2025-10-29 11:26:00-04:00,2025-10-29 11:27:00-04:00,2025-10-29 15:59:00-04:00,LONG,-2.7270125925,267.8400000000,269.7710056891,635.5900000000,635.9274366838,269.5719074499,267.8500000000,267.9035700000,269.7100000000,269.6560580000,74,19824.8641800000,3.0000000000,7.5000000000,222.0000000000,555.0000000000,2.5000000000,264.8500000000,275.3500000000,FORCED_EOD,272,137.6400000000,7.9558880000,0.5180000000,8.4738880000,129.1661120000
AAPL,QQQ,2025-10-30 11:07:00-04:00,2025-10-30 11:08:00-04:00,2025-10-30 15:59:00-04:00,SHORT,2.5930733438,269.8900000000,270.8759349876,629.9601000000,630.4032210036,270.5483621516,269.9100000000,269.8560180000,271.3800000000,271.4342760000,74,19969.3453320000,3.0000000000,7.5000000000,222.0000000000,555.0000000000,2.5000000000,272.9100000000,262.4100000000,FORCED_EOD,291,-108.7800000000,8.0110920000,0.5180000000,8.5290920000,-117.3090920000
AAPL,QQQ,2025-10-31 11:26:00-04:00,2025-10-31 11:27:00-04:00,2025-10-31 15:59:00-04:00,SHORT,2.5065345687,271.4600000000,271.4626698012,632.8950000000,632.5085670995,271.5247242073,271.4336000000,271.3793132800,270.2500000000,270.3040500000,73,19810.6898694400,3.0000000000,7.5000000000,219.0000000000,547.5000000000,2.5000000000,274.4336000000,263.9336000000,FORCED_EOD,272,86.4028000000,7.9085805600,0.5110000000,8.4195805600,77.9832194400
AAPL,QQQ,2025-11-03 13:26:00-05:00,2025-11-03 13:27:00-05:00,2025-11-03 15:59:00-05:00,SHORT,2.6171184897,267.9450000000,267.7554961517,632.9950000000,632.3608803612,267.8455024001,267.9450000000,267.8914110000,269.0600000000,269.1138120000,74,19823.9644140000,3.0000000000,7.5000000000,222.0000000000,555.0000000000,2.5000000000,270.9450000000,260.4450000000,FORCED_EOD,152,-82.5100000000,7.9476740000,0.5180000000,8.4656740000,-90.9756740000
AAPL,QQQ,2025-11-04 11:07:00-05:00,2025-11-04 11:08:00-05:00,2025-11-04 15:59:00-05:00,SHORT,2.5297956181,269.1750000000,268.5466003222,624.6095000000,624.6471490262,268.5433631288,269.1847000000,269.1308630600,270.2500000000,270.3040500000,74,19915.6838664400,3.0000000000,7.5000000000,222.0000000000,555.0000000000,2.5000000000,272.1847000000,261.6847000000,FORCED_EOD,291,-78.8322000000,7.9836335600,0.5180000000,8.5016335600,-87.3338335600
